datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,2,40.0,,,,,,,,
2020-03-12,2,92.0,,,,,,0.0,,
2020-03-13,2,94.0,,,,,,0.0,,
2020-03-14,2,94.0,,,,,,0.0,,
2020-03-15,2,94.0,,,,,,0.0,,
2020-03-16,2,103.0,,,,,,0.0,0.0,
2020-03-17,2,108.0,,,,,,0.0,0.0,
2020-03-18,2,109.0,0.0,,1.0,0,,0.0,0.0,
2020-03-19,2,114.0,0.0,,1.0,0,,0.0,0.0,
2020-03-20,2,114.0,0.0,,1.0,0,,0.0,0.0,
2020-03-21,2,114.0,0.0,,1.0,0,,0.0,0.0,0.0
2020-03-22,2,114.0,0.0,,1.0,0,,0.0,0.0,0.0
2020-03-23,2,121.0,0.0,,1.0,0,,0.0,0.0,0.0
2020-03-24,2,200.0,0.0,,1.0,0,,0.0,0.0,0.0
2020-03-25,2,204.0,0.0,,1.0,0,,0.0,0.0,0.0
2020-03-26,2,207.0,0.0,,1.0,0,,0.0,0.0,0.0
2020-03-27,4,211.0,2.0,,1.0,0,,2.0,0.4,0.2
2020-03-28,4,211.0,2.0,,2.0,0,,0.0,0.4,0.2
2020-03-29,4,211.0,2.0,,2.0,0,,0.0,0.4,0.2
2020-03-30,4,240.0,2.0,,2.0,0,,0.0,0.4,0.2
2020-03-31,6,261.0,4.0,,2.0,0,,2.0,0.8,0.4
2020-04-01,6,261.0,4.0,,2.0,0,,0.0,0.4,0.4
2020-04-02,7,321.0,5.0,,2.0,0,,1.0,0.6,0.5
2020-04-03,9,349.0,7.0,,2.0,0,1.92,2.0,1.0,0.7
2020-04-04,10,349.0,8.0,,2.0,0,2.19,1.0,1.2,0.8
2020-04-05,11,349.0,9.0,,2.0,0,2.45,1.0,1.0,0.9
2020-04-06,11,419.0,9.0,,2.0,0,2.45,0.0,1.0,0.7
2020-04-07,11,443.0,9.0,,2.0,0,1.17,0.0,0.8,0.7
2020-04-08,11,463.0,9.0,,2.0,0,1.17,0.0,0.4,0.7
2020-04-09,11,484.0,9.0,,2.0,0,0.85,0.0,0.2,0.7
2020-04-10,12,491.0,7.0,,5.0,0,0.69,1.0,0.2,0.6
2020-04-11,13,491.0,8.0,,5.0,0,0.61,1.0,0.4,0.7
2020-04-12,15,491.0,10.0,,5.0,0,0.67,2.0,0.8,0.8
2020-04-13,15,555.0,10.0,,5.0,0,0.67,0.0,0.8,0.6
2020-04-14,16,603.0,11.0,,5.0,0,1.0,1.0,1.0,0.6
2020-04-15,16,666.0,11.0,,5.0,0,1.0,0.0,0.8,0.5
2020-04-16,16,688.0,11.0,,5.0,0,1.17,0.0,0.6,0.5
