datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0.0,,,,,,,,,
2020-01-27,0.0,,,,,,,0.0,,
2020-01-28,0.0,,,,,,,0.0,,
2020-01-29,0.0,,,,,,,0.0,,
2020-01-30,1.0,,,,,,,1.0,,
2020-01-31,1.0,,,,,,,0.0,0.2,
2020-02-01,1.0,,,,,,,0.0,0.2,
2020-02-02,1.0,,,,,,,0.0,0.2,
2020-02-03,1.0,,,,,,,0.0,0.2,
2020-02-04,2.0,,,,,,,1.0,0.2,
2020-02-05,3.0,,,,,,,1.0,0.4,0.3
2020-02-06,3.0,,,,,,,0.0,0.4,0.3
2020-02-07,3.0,,,,,,,0.0,0.4,0.3
2020-02-08,3.0,,,,,,,0.0,0.4,0.3
2020-02-09,3.0,,,,,,,0.0,0.2,0.2
2020-02-10,3.0,,,,,,,0.0,0.0,0.2
2020-02-11,4.0,,,,,,,1.0,0.2,0.3
2020-02-12,4.0,,,,,,,0.0,0.2,0.3
2020-02-13,5.0,,,,,,,1.0,0.4,0.4
2020-02-14,5.0,,,,,,,0.0,0.4,0.3
2020-02-15,5.0,,,,,,,0.0,0.4,0.2
2020-02-16,5.0,,,,,,,0.0,0.2,0.2
2020-02-17,5.0,,,,,,,0.0,0.2,0.2
2020-02-18,5.0,,,,,,,0.0,0.0,0.2
2020-02-19,5.0,,,,,,,0.0,0.0,0.2
2020-02-20,6.0,,,,,,,1.0,0.2,0.3
2020-02-21,7.0,,,,,,,1.0,0.4,0.3
2020-02-22,10.0,,,,,,,3.0,1.0,0.6
2020-02-23,11.0,,,,,,,1.0,1.2,0.6
2020-02-24,11.0,,,,,,,0.0,1.2,0.6
2020-02-25,11.0,,,,,,,0.0,1.0,0.6
2020-02-26,14.0,,,,,,,3.0,1.4,0.9
2020-02-27,14.0,,,,,,,0.0,0.8,0.9
2020-02-28,14.0,,,,,,,0.0,0.6,0.9
2020-02-29,14.0,,,,,,,0.0,0.6,0.9
2020-03-01,15.0,,,,,,,1.0,0.8,0.9
2020-03-02,15.0,,,,,,,0.0,0.2,0.8
2020-03-03,15.0,,,,,,,0.0,0.2,0.5
2020-03-04,16.0,,,,,,,1.0,0.4,0.5
2020-03-05,16.0,,,,,,,0.0,0.4,0.5
2020-03-06,17.0,,,,,,,1.0,0.4,0.6
2020-03-07,22.0,,,,,,,5.0,1.4,0.8
2020-03-08,22.0,,,,,,,0.0,1.4,0.8
2020-03-09,23.0,,,,,,,1.0,1.4,0.9
2020-03-10,24.0,,,,,,,1.0,1.6,1.0
2020-03-11,26.0,,,,,,,2.0,1.8,1.1
2020-03-12,28.0,,,,,,,2.0,1.2,1.3
2020-03-13,30.0,,,,,,,2.0,1.6,1.5
2020-03-14,32.0,,,,,,,2.0,1.8,1.6
2020-03-15,33.0,,,,,,,1.0,1.8,1.7
2020-03-16,33.0,,,,,,,0.0,1.4,1.6
2020-03-17,33.0,,,,,,,0.0,1.0,1.1
2020-03-18,35.0,,22.0,,9.0,0.0,,2.0,1.0,1.3
2020-03-19,37.0,,25.0,,9.0,0.0,,2.0,1.0,1.4
2020-03-20,43.0,,27.0,,12.0,0.0,,6.0,2.0,1.9
2020-03-21,44.0,,26.0,,14.0,0.0,,1.0,2.2,1.8
2020-03-22,46.0,,27.0,,15.0,0.0,,2.0,2.6,1.8
2020-03-23,49.0,31.0,30.0,,15.0,0.0,,3.0,2.8,1.9
2020-03-24,50.0,39.0,31.0,,15.0,0.0,,1.0,2.6,1.8
2020-03-25,55.0,100.0,34.0,,17.0,0.0,,5.0,2.4,2.2
2020-03-26,58.0,108.0,36.0,,18.0,0.0,1.77,3.0,2.8,2.5
2020-03-27,66.0,169.0,42.0,,18.0,0.0,1.49,8.0,4.0,3.3
2020-03-28,152.0,207.0,106.0,,19.0,1.0,4.27,86.0,20.6,11.7
2020-03-29,160.0,237.0,140.0,,19.0,1.0,4.77,8.0,22.0,12.3
2020-03-30,166.0,362.0,140.0,,19.0,1.0,4.04,6.0,22.2,12.3
2020-03-31,173.0,527.0,144.0,,19.0,1.0,3.94,7.0,23.0,12.9
2020-04-01,184.0,527.0,151.0,,23.0,1.0,3.64,11.0,23.6,13.8
2020-04-02,196.0,712.0,154.0,,26.0,1.0,3.7,12.0,8.8,14.7
