datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,2,149.0,,,,,,,,
2020-03-12,2,153.0,,,,,,0.0,,
2020-03-13,2,161.0,,,,,,0.0,,
2020-03-14,2,161.0,,,,,,0.0,,
2020-03-15,2,161.0,,,,,,0.0,,
2020-03-16,2,166.0,,,,,,0.0,0.0,
2020-03-17,2,167.0,,,,,,0.0,0.0,
2020-03-18,3,181.0,1.0,,1.0,0,,1.0,0.2,
2020-03-19,3,181.0,1.0,,1.0,0,,0.0,0.2,
2020-03-20,3,181.0,1.0,,1.0,0,,0.0,0.2,
2020-03-21,3,181.0,1.0,,1.0,0,,0.0,0.2,0.1
2020-03-22,3,181.0,1.0,,1.0,0,,0.0,0.2,0.1
2020-03-23,3,208.0,1.0,,1.0,0,,0.0,0.0,0.1
2020-03-24,3,215.0,1.0,,1.0,0,,0.0,0.0,0.1
2020-03-25,3,219.0,1.0,,1.0,0,,0.0,0.0,0.1
2020-03-26,3,223.0,1.0,,1.0,0,0.0,0.0,0.0,0.1
2020-03-27,4,234.0,2.0,,1.0,0,1.0,1.0,0.2,0.2
2020-03-28,4,234.0,2.0,,2.0,0,1.0,0.0,0.2,0.1
2020-03-29,4,234.0,2.0,,2.0,0,1.0,0.0,0.2,0.1
2020-03-30,4,250.0,2.0,,2.0,0,1.0,0.0,0.2,0.1
2020-03-31,9,267.0,7.0,,2.0,0,3.6,5.0,1.2,0.6
2020-04-01,9,267.0,7.0,,2.0,0,,0.0,1.0,0.6
2020-04-02,11,312.0,9.0,,2.0,0,,2.0,1.4,0.8
2020-04-03,11,350.0,7.0,,3.0,1,4.01,0.0,1.4,0.8
2020-04-04,12,350.0,8.0,,3.0,1,4.42,1.0,1.6,0.9
2020-04-05,12,350.0,8.0,,3.0,1,4.42,0.0,0.6,0.9
2020-04-06,14,407.0,9.0,,4.0,1,5.18,2.0,1.0,1.0
2020-04-07,23,418.0,18.0,,4.0,1,1.83,9.0,2.4,1.9
2020-04-08,25,450.0,20.0,,4.0,1,2.01,2.0,2.8,2.1
2020-04-09,26,485.0,21.0,,4.0,1,1.57,1.0,2.8,2.2
2020-04-10,28,545.0,23.0,,4.0,1,1.88,2.0,3.2,1.9
2020-04-11,30,545.0,25.0,,4.0,1,1.78,2.0,3.2,2.1
2020-04-12,30,545.0,24.0,,4.0,2,1.78,0.0,1.4,1.9
2020-04-13,37,631.0,31.0,,4.0,2,1.81,7.0,2.4,2.6
2020-04-14,39,653.0,33.0,,4.0,2,1.1,2.0,2.6,2.7
2020-04-15,40,680.0,34.0,,4.0,2,0.95,1.0,2.4,2.8
2020-04-16,41,708.0,35.0,,4.0,2,1.0,1.0,2.2,2.7
2020-04-17,41,708.0,35.0,,4.0,2,0.83,0.0,2.2,1.8
2020-04-18,44,708.0,36.0,,5.0,3,0.84,3.0,1.4,1.9
2020-04-19,45,708.0,34.0,,8.0,3,0.88,1.0,1.2,1.9
2020-04-20,46,844.0,34.0,,9.0,3,0.51,1.0,1.2,1.8
2020-04-21,47,893.0,34.0,,9.0,3,0.61,1.0,1.2,1.7
2020-04-22,47,938.0,28.0,,16.0,3,0.58,0.0,1.2,1.7
2020-04-23,47,961.0,28.0,,16.0,3,0.52,0.0,0.6,1.0
2020-04-24,47,1002.0,24.0,,20.0,3,0.58,0.0,0.4,0.8
2020-04-25,47,1002.0,24.0,,20.0,3,0.33,0.0,0.2,0.7
2020-04-26,47,1002.0,20.0,,24.0,3,0.24,0.0,0.0,0.6
