datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,0,71.0,,,,,,,,
2020-03-12,0,73.0,,,,,,0.0,,
2020-03-13,0,74.0,,,,,,0.0,,
2020-03-14,0,74.0,,,,,,0.0,,
2020-03-15,0,74.0,,,,,,0.0,,
2020-03-16,0,79.0,,,,,,0.0,0.0,
2020-03-17,0,84.0,,,,,,0.0,0.0,
2020-03-18,1,92.0,1.0,,0.0,0,,1.0,0.2,
2020-03-19,1,92.0,1.0,,0.0,0,,0.0,0.2,
2020-03-20,1,97.0,1.0,,0.0,0,,0.0,0.2,
2020-03-21,1,97.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-22,1,98.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-23,1,102.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-24,1,114.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-25,2,116.0,3.0,,0.0,0,,1.0,0.2,0.2
2020-03-26,6,119.0,5.0,,0.0,0,,4.0,1.0,0.6
2020-03-27,9,136.0,8.0,,0.0,0,,3.0,1.6,0.9
2020-03-28,12,144.0,12.0,,0.0,0,,3.0,2.2,1.1
2020-03-29,13,154.0,13.0,,0.0,0,,1.0,2.4,1.2
2020-03-30,15,160.0,15.0,,0.0,0,,2.0,2.6,1.4
2020-03-31,16,179.0,16.0,,0.0,0,,1.0,2.0,1.5
2020-04-01,22,179.0,22.0,,0.0,0,,6.0,2.6,2.1
2020-04-02,31,233.0,30.0,,0.0,1,3.16,9.0,3.8,3.0
2020-04-03,40,272.0,39.0,,0.0,1,2.63,9.0,5.4,3.9
2020-04-04,44,275.0,43.0,,0.0,1,2.14,4.0,5.8,4.2
2020-04-05,51,310.0,49.0,,0.0,2,2.28,7.0,7.0,4.5
2020-04-06,57,335.0,54.0,,1.0,2,2.19,6.0,7.0,4.8
2020-04-07,57,378.0,54.0,,1.0,2,2.05,0.0,5.2,4.5
2020-04-08,67,407.0,64.0,,1.0,2,1.78,10.0,5.4,5.4
2020-04-09,72,455.0,67.0,,3.0,2,1.42,5.0,5.6,5.7
2020-04-10,76,511.0,68.0,,6.0,2,1.11,4.0,5.0,6.0
2020-04-11,86,515.0,78.0,,6.0,2,1.21,10.0,5.8,6.4
2020-04-12,88,515.0,80.0,,6.0,2,0.98,2.0,6.2,5.7
2020-04-13,92,710.0,83.0,,7.0,2,0.88,4.0,5.0,5.2
2020-04-14,92,765.0,82.0,,8.0,2,0.89,0.0,4.0,4.8
2020-04-15,100,865.0,90.0,,8.0,2,0.8,8.0,4.8,4.9
2020-04-16,103,918.0,93.0,,8.0,2,0.82,3.0,3.4,4.6
2020-04-17,104,955.0,94.0,,8.0,2,0.84,1.0,3.2,4.7
2020-04-18,106,955.0,94.0,,8.0,4,0.59,2.0,2.8,3.9
2020-04-19,112,955.0,85.0,,23.0,4,0.73,6.0,4.0,4.0
2020-04-20,113,1054.0,83.0,,26.0,4,0.69,1.0,2.6,3.7
2020-04-21,118,1099.0,83.0,,26.0,4,0.81,5.0,3.0,3.2
2020-04-22,119,1233.0,89.0,,26.0,4,0.67,1.0,3.0,3.1
2020-04-23,119,1278.0,88.0,,26.0,5,0.62,0.0,2.6,2.7
2020-04-24,120,1313.0,81.0,,33.0,5,0.67,1.0,1.6,2.8
2020-04-25,120,1313.0,82.0,,33.0,5,0.78,0.0,1.4,2.0
2020-04-26,121,1313.0,83.0,,33.0,5,0.5,1.0,0.6,1.8
2020-04-27,121,1462.0,52.0,,63.0,6,0.5,0.0,0.4,1.7
2020-04-28,122,1588.0,53.0,,63.0,6,0.26,1.0,0.6,1.6
2020-04-29,122,1588.0,51.0,,64.0,7,0.27,0.0,0.4,1.0
2020-04-30,122,1696.0,45.0,,69.0,8,0.3,0.0,0.4,0.9
2020-05-01,122,1771.0,45.0,,69.0,8,0.23,0.0,0.2,0.4
2020-05-02,122,1771.0,39.0,,75.0,8,0.25,0.0,0.2,0.3
2020-05-03,122,1771.0,39.0,,75.0,8,0.21,0.0,0.0,0.3
2020-05-04,122,1771.0,36.0,,78.0,8,0.23,0.0,0.0,0.2
2020-05-05,122,1771.0,36.0,,78.0,8,0.0,0.0,0.0,0.2
2020-05-06,122,1771.0,30.0,,84.0,8,0.0,0.0,0.0,0.1
2020-05-07,122,1964.0,30.0,,84.0,8,0.0,0.0,0.0,0.1
2020-05-08,122,1991.0,25.0,3,89.0,8,0.0,0.0,0.0,0.0
2020-05-09,122,2026.0,21.0,3,93.0,8,0.0,0.0,0.0,0.0
2020-05-10,122,2082.0,0.0,2,94.0,8,0.0,0.0,0.0,0.0
2020-05-11,122,2097.0,0.0,3,95.0,8,0.0,0.0,0.0,0.0
2020-05-12,122,2139.0,18.0,2,96.0,8,,0.0,0.0,0.0
2020-05-13,122,2178.0,16.0,2,98.0,8,,0.0,0.0,0.0
2020-05-14,122,2207.0,16.0,2,98.0,8,,0.0,0.0,0.0
2020-05-15,122,2297.0,15.0,2,99.0,8,,0.0,0.0,0.0
2020-05-16,122,2297.0,12.0,2,102.0,8,,0.0,0.0,0.0
2020-05-17,122,2297.0,12.0,2,102.0,8,,0.0,0.0,0.0
2020-05-18,122,2322.0,9.0,2,104.0,8,,0.0,0.0,0.0
2020-05-19,122,2347.0,9.0,2,104.0,8,,0.0,0.0,0.0
2020-05-20,122,2373.0,8.0,2,105.0,8,,0.0,0.0,0.0
2020-05-21,122,2402.0,8.0,2,105.0,8,,0.0,0.0,0.0
2020-05-22,122,2430.0,7.0,2,107.0,8,,0.0,0.0,0.0
2020-05-23,122,2458.0,6.0,2,108.0,8,,0.0,0.0,0.0
2020-05-24,122,2474.0,5.0,2,109.0,8,,0.0,0.0,0.0
2020-05-25,122,2476.0,5.0,2,109.0,8,,0.0,0.0,0.0
2020-05-26,122,2510.0,5.0,2,109.0,8,,0.0,0.0,0.0
2020-05-27,122,2545.0,5.0,2,109.0,8,,0.0,0.0,0.0
2020-05-28,122,2565.0,5.0,2,109.0,8,,0.0,0.0,0.0
2020-05-29,122,2596.0,5.0,1,109.0,8,,0.0,0.0,0.0
2020-05-30,122,2619.0,5.0,1,109.0,8,,0.0,0.0,0.0
2020-05-31,122,2631.0,4.0,1,110.0,8,,0.0,0.0,0.0
2020-06-01,122,2638.0,2.0,1,112.0,8,,0.0,0.0,0.0
2020-06-02,122,2675.0,2.0,1,112.0,8,,0.0,0.0,0.0
2020-06-03,122,2717.0,2.0,1,112.0,8,,0.0,0.0,0.0
2020-06-04,122,2756.0,2.0,1,112.0,8,,0.0,0.0,0.0
2020-06-05,122,2786.0,2.0,1,112.0,8,,0.0,0.0,0.0
2020-06-06,122,2821.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-07,122,2839.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-08,122,2839.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-09,122,2875.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-10,122,2919.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-11,122,2953.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-12,122,2980.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-13,122,3018.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-14,122,3028.0,1.0,1,113.0,8,,0.0,0.0,0.0
2020-06-15,122,3028.0,0.0,0,114.0,8,,0.0,0.0,0.0
2020-06-16,122,3062.0,0.0,0,114.0,8,,0.0,0.0,0.0
2020-06-17,122,3105.0,0.0,0,114.0,8,,0.0,0.0,0.0
