datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,2,201.0,,,,,,,,
2020-03-12,2,205.0,,,,,,0.0,,
2020-03-13,2,227.0,,,,,,0.0,,
2020-03-14,2,227.0,,,,,,0.0,,
2020-03-15,2,227.0,,,,,,0.0,,
2020-03-16,2,249.0,,,,,,0.0,0.0,
2020-03-17,2,270.0,,,,,,0.0,0.0,
2020-03-18,3,270.0,2.0,,1.0,0,,1.0,0.2,
2020-03-19,3,272.0,2.0,,1.0,0,,0.0,0.2,
2020-03-20,3,279.0,2.0,,1.0,0,,0.0,0.2,
2020-03-21,3,279.0,2.0,,1.0,0,,0.0,0.2,0.1
2020-03-22,5,281.0,4.0,,1.0,0,,2.0,0.6,0.3
2020-03-23,8,304.0,7.0,,1.0,0,,3.0,1.0,0.6
2020-03-24,12,317.0,10.0,,1.0,0,,4.0,1.8,1.0
2020-03-25,13,325.0,11.0,,1.0,0,,1.0,2.0,1.1
2020-03-26,16,374.0,13.0,,1.0,0,6.25,3.0,2.6,1.4
2020-03-27,16,412.0,13.0,,1.0,0,6.25,0.0,2.2,1.4
2020-03-28,16,420.0,15.0,,1.0,0,6.25,0.0,1.6,1.3
2020-03-29,21,428.0,20.0,,1.0,0,3.31,5.0,1.8,1.8
2020-03-30,21,629.0,20.0,,1.0,0,1.74,0.0,1.6,1.8
2020-03-31,23,717.0,21.0,,2.0,0,1.07,2.0,1.4,2.0
2020-04-01,22,717.0,20.0,,2.0,0,0.93,-1.0,1.2,1.7
2020-04-02,22,806.0,20.0,,2.0,0,0.58,0.0,1.2,1.4
2020-04-03,39,827.0,37.0,,2.0,0,1.5,17.0,3.6,2.7
2020-04-04,43,833.0,40.0,,2.0,1,1.69,4.0,4.4,3.0
2020-04-05,50,842.0,47.0,,2.0,1,1.53,7.0,5.4,3.4
2020-04-06,51,966.0,48.0,,2.0,1,1.82,1.0,5.8,3.5
2020-04-07,51,988.0,47.0,,3.0,1,1.95,0.0,5.8,3.5
2020-04-08,69,1046.0,65.0,,3.0,1,3.26,18.0,6.0,4.8
2020-04-09,76,1110.0,70.0,,5.0,1,4.8,7.0,6.6,5.5
2020-04-10,82,1182.0,76.0,,5.0,1,1.56,6.0,6.4,5.9
2020-04-11,91,1185.0,85.0,,5.0,1,1.51,9.0,8.0,6.9
2020-04-12,105,1185.0,99.0,,5.0,1,1.58,14.0,10.8,8.3
2020-04-13,112,1442.0,106.0,,5.0,1,1.66,7.0,8.6,7.3
2020-04-14,127,1519.0,120.0,,6.0,1,2.04,15.0,10.2,8.4
2020-04-15,128,1626.0,115.0,,12.0,1,1.18,1.0,9.2,7.8
2020-04-16,132,1727.0,115.0,,16.0,1,1.03,4.0,8.2,8.1
2020-04-17,136,1892.0,118.0,,16.0,2,1.18,4.0,6.2,8.5
2020-04-18,137,1892.0,119.0,,16.0,2,0.97,1.0,5.0,6.8
2020-04-19,139,1892.0,120.0,,16.0,3,0.71,2.0,2.4,6.3
2020-04-20,139,2119.0,112.0,,24.0,3,0.56,0.0,2.2,5.7
2020-04-21,140,2143.0,112.0,,24.0,3,0.28,1.0,1.6,4.9
2020-04-22,143,2197.0,114.0,,24.0,5,0.38,3.0,1.4,3.8
2020-04-23,146,2234.0,117.0,,24.0,5,0.37,3.0,1.8,3.4
2020-04-24,146,2272.0,115.0,,24.0,7,0.3,0.0,1.4,1.9
2020-04-25,146,2272.0,103.0,,36.0,7,0.31,0.0,1.4,1.8
2020-04-26,146,2272.0,82.0,,57.0,7,0.32,0.0,1.2,1.4
2020-04-27,146,2362.0,82.0,,57.0,7,0.38,0.0,0.6,1.0
2020-04-28,146,2362.0,74.0,,65.0,7,0.58,0.0,0.0,0.9
2020-04-29,146,2362.0,74.0,,65.0,7,0.32,0.0,0.0,0.7
2020-04-30,146,2400.0,74.0,,65.0,7,0.0,0.0,0.0,0.7
2020-05-01,149,2404.0,73.0,,70.0,6,0.42,3.0,0.6,0.9
2020-05-02,150,2404.0,65.0,,79.0,6,0.56,1.0,0.8,0.7
2020-05-03,150,2404.0,65.0,,79.0,6,0.67,0.0,0.8,0.4
2020-05-04,150,2404.0,63.0,,81.0,6,0.67,0.0,0.8,0.4
2020-05-05,150,2404.0,49.0,,95.0,6,0.75,0.0,0.8,0.4
2020-05-06,150,2404.0,38.0,,106.0,6,1.23,0.0,0.2,0.4
2020-05-07,150,2498.0,38.0,,106.0,6,,0.0,0.0,0.4
2020-05-08,150,3404.0,30.0,1,114.0,6,0.46,0.0,0.0,0.4
2020-05-09,150,3404.0,30.0,1,114.0,6,0.0,0.0,0.0,0.4
2020-05-10,150,3482.0,22.0,1,122.0,6,0.0,0.0,0.0,0.4
