datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0.0,,,,,,,,,
2020-01-27,0.0,,,,,,,0.0,,
2020-01-28,0.0,,,,,,,0.0,,
2020-01-29,0.0,,,,,,,0.0,,
2020-01-30,0.0,,,,,,,0.0,,
2020-01-31,0.0,,,,,,,0.0,0.0,
2020-02-01,0.0,,,,,,,0.0,0.0,
2020-02-02,0.0,,,,,,,0.0,0.0,
2020-02-03,0.0,,,,,,,0.0,0.0,
2020-02-04,0.0,,,,,,,0.0,0.0,
2020-02-05,0.0,,,,,,,0.0,0.0,0.0
2020-02-06,0.0,,,,,,,0.0,0.0,0.0
2020-02-07,0.0,,,,,,,0.0,0.0,0.0
2020-02-08,0.0,,,,,,,0.0,0.0,0.0
2020-02-09,0.0,,,,,,,0.0,0.0,0.0
2020-02-10,0.0,,,,,,,0.0,0.0,0.0
2020-02-11,0.0,,,,,,,0.0,0.0,0.0
2020-02-12,0.0,,,,,,,0.0,0.0,0.0
2020-02-13,0.0,,,,,,,0.0,0.0,0.0
2020-02-14,0.0,,,,,,,0.0,0.0,0.0
2020-02-15,0.0,,,,,,,0.0,0.0,0.0
2020-02-16,0.0,,,,,,,0.0,0.0,0.0
2020-02-17,0.0,,,,,,,0.0,0.0,0.0
2020-02-18,0.0,,,,,,,0.0,0.0,0.0
2020-02-19,0.0,,,,,,,0.0,0.0,0.0
2020-02-20,0.0,,,,,,,0.0,0.0,0.0
2020-02-21,0.0,,,,,,,0.0,0.0,0.0
2020-02-22,0.0,,,,,,,0.0,0.0,0.0
2020-02-23,0.0,,,,,,,0.0,0.0,0.0
2020-02-24,0.0,,,,,,,0.0,0.0,0.0
2020-02-25,0.0,,,,,,,0.0,0.0,0.0
2020-02-26,0.0,,,,,,,0.0,0.0,0.0
2020-02-27,0.0,,,,,,,0.0,0.0,0.0
2020-02-28,0.0,,,,,,,0.0,0.0,0.0
2020-02-29,0.0,,,,,,,0.0,0.0,0.0
2020-03-01,0.0,,,,,,,0.0,0.0,0.0
2020-03-02,0.0,,,,,,,0.0,0.0,0.0
2020-03-03,0.0,,,,,,,0.0,0.0,0.0
2020-03-04,0.0,,,,,,,0.0,0.0,0.0
2020-03-05,0.0,,,,,,,0.0,0.0,0.0
2020-03-06,0.0,,,,,,,0.0,0.0,0.0
2020-03-07,1.0,,,,,,,1.0,0.2,0.1
2020-03-08,1.0,,,,,,,0.0,0.2,0.1
2020-03-09,1.0,,,,,,,0.0,0.2,0.1
2020-03-10,1.0,,,,,,,0.0,0.2,0.1
2020-03-11,1.0,290.0,,,,,,0.0,0.2,0.1
2020-03-12,1.0,376.0,,,,,,0.0,0.0,0.1
2020-03-13,1.0,423.0,,,,,,0.0,0.0,0.1
2020-03-14,1.0,423.0,,,,,,0.0,0.0,0.1
2020-03-15,1.0,423.0,,,,,,0.0,0.0,0.1
2020-03-16,1.0,463.0,,,,,,0.0,0.0,0.1
2020-03-17,1.0,502.0,,,,,,0.0,0.0,0.0
2020-03-18,1.0,521.0,0.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-19,1.0,552.0,0.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-20,2.0,569.0,1.0,,1.0,0.0,,1.0,0.2,0.1
2020-03-21,3.0,579.0,1.0,,1.0,0.0,,1.0,0.4,0.2
2020-03-22,3.0,609.0,2.0,,1.0,0.0,,0.0,0.4,0.2
2020-03-23,3.0,631.0,2.0,,1.0,0.0,,0.0,0.4,0.2
2020-03-24,3.0,656.0,2.0,,1.0,0.0,,0.0,0.4,0.2
2020-03-25,3.0,687.0,2.0,,1.0,0.0,,0.0,0.2,0.2
2020-03-26,4.0,722.0,3.0,,1.0,0.0,,1.0,0.2,0.3
2020-03-27,4.0,748.0,3.0,,1.0,0.0,1.64,0.0,0.2,0.3
2020-03-28,4.0,812.0,3.0,,1.0,0.0,1.64,0.0,0.2,0.3
2020-03-29,6.0,831.0,5.0,,1.0,0.0,1.34,2.0,0.6,0.5
2020-03-30,6.0,901.0,5.0,,1.0,0.0,1.34,0.0,0.6,0.4
2020-03-31,6.0,960.0,5.0,,1.0,0.0,1.34,0.0,0.4,0.3
2020-04-01,6.0,960.0,5.0,,1.0,0.0,1.34,0.0,0.4,0.3
