datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,0,302.0,,,,,,,,
2020-03-12,0,342.0,,,,,,0.0,,
2020-03-13,0,389.0,,,,,,0.0,,
2020-03-14,0,389.0,,,,,,0.0,,
2020-03-15,0,389.0,,,,,,0.0,,
2020-03-16,0,419.0,,,,,,0.0,0.0,
2020-03-17,1,436.0,,,,,,1.0,0.2,
2020-03-18,2,454.0,2.0,,0.0,0,,1.0,0.4,
2020-03-19,3,464.0,3.0,,0.0,0,,1.0,0.6,
2020-03-20,3,464.0,3.0,,0.0,0,,0.0,0.6,
2020-03-21,3,464.0,3.0,,0.0,0,,0.0,0.6,0.3
2020-03-22,3,464.0,3.0,,0.0,0,,0.0,0.4,0.3
2020-03-23,5,576.0,5.0,,0.0,0,,2.0,0.6,0.5
2020-03-24,5,576.0,5.0,,0.0,0,,0.0,0.4,0.5
2020-03-25,9,656.0,9.0,,0.0,0,,4.0,1.2,0.9
2020-03-26,10,716.0,9.0,,0.0,0,,1.0,1.4,1.0
2020-03-27,11,770.0,9.0,,0.0,0,,1.0,1.6,1.0
2020-03-28,13,770.0,13.0,,0.0,0,,2.0,1.6,1.1
2020-03-29,16,770.0,16.0,,0.0,0,,3.0,2.2,1.3
2020-03-30,20,921.0,20.0,,0.0,0,,4.0,2.2,1.7
2020-03-31,24,1028.0,24.0,,0.0,0,,4.0,2.8,2.1
2020-04-01,24,1028.0,23.0,,0.0,1,1.72,0.0,2.6,2.1
2020-04-02,26,1266.0,24.0,,0.0,2,1.8,2.0,2.6,2.1
2020-04-03,54,1383.0,51.0,,1.0,2,3.32,28.0,7.6,4.9
2020-04-04,59,1383.0,56.0,,1.0,2,2.97,5.0,7.8,5.0
2020-04-05,64,1383.0,61.0,,1.0,2,2.54,5.0,8.0,5.4
2020-04-06,71,1806.0,68.0,,1.0,2,2.4,7.0,9.4,6.0
2020-04-07,77,1927.0,74.0,,1.0,2,2.08,6.0,10.2,6.4
2020-04-08,77,1927.0,71.0,,4.0,2,2.46,0.0,4.6,6.1
2020-04-09,81,2140.0,75.0,,4.0,2,2.42,4.0,4.4,6.1
2020-04-10,82,2221.0,72.0,,7.0,3,0.74,1.0,3.6,5.8
2020-04-11,91,2221.0,80.0,,8.0,3,0.77,9.0,4.0,6.7
2020-04-12,109,2221.0,97.0,,9.0,3,0.95,18.0,6.4,8.3
2020-04-13,110,2501.0,97.0,,10.0,3,0.83,1.0,6.6,5.6
2020-04-14,116,2719.0,103.0,,10.0,3,0.8,6.0,7.0,5.7
2020-04-15,119,2883.0,104.0,,10.0,5,0.85,3.0,7.4,5.5
2020-04-16,123,2883.0,108.0,,10.0,5,0.82,4.0,6.4,5.2
2020-04-17,131,3159.0,115.0,,11.0,5,1.49,8.0,4.4,5.4
2020-04-18,135,3159.0,116.0,,14.0,5,1.26,4.0,5.0,5.8
2020-04-19,139,3159.0,118.0,,16.0,5,0.75,4.0,4.6,5.8
2020-04-20,143,3343.0,121.0,,16.0,6,0.89,4.0,4.8,6.1
2020-04-21,146,3571.0,121.0,,16.0,6,0.83,3.0,4.6,5.5
2020-04-22,151,3687.0,127.0,,18.0,6,0.82,5.0,4.0,4.2
2020-04-23,153,3887.0,126.0,,21.0,6,0.79,2.0,3.6,4.3
2020-04-24,157,4031.0,127.0,,24.0,6,0.64,4.0,3.6,4.1
2020-04-25,158,4031.0,128.0,,24.0,6,0.63,1.0,3.0,3.9
2020-04-26,161,4031.0,131.0,,24.0,6,0.8,3.0,3.0,3.8
2020-04-27,161,4273.0,124.0,,31.0,6,0.65,0.0,2.0,3.0
2020-04-28,162,4473.0,125.0,,31.0,6,0.64,1.0,1.8,2.7
2020-04-29,162,4473.0,123.0,,33.0,6,0.47,0.0,1.0,2.3
2020-04-30,163,4623.0,121.0,,35.0,7,0.46,1.0,1.0,2.0
2020-05-01,165,4835.0,123.0,,35.0,7,0.43,2.0,0.8,1.9
2020-05-02,165,4835.0,120.0,,38.0,7,0.43,0.0,0.8,1.4
2020-05-03,165,4835.0,113.0,,45.0,7,0.3,0.0,0.6,1.2
2020-05-04,165,4835.0,98.0,,61.0,8,0.34,0.0,0.6,0.8
2020-05-05,168,4835.0,90.0,,69.0,9,0.5,3.0,1.0,1.0
2020-05-06,168,4835.0,88.0,,71.0,9,0.65,0.0,0.6,0.7
2020-05-07,168,5281.0,86.0,,73.0,9,0.61,0.0,0.6,0.7
2020-05-08,168,3826.0,71.0,3,78.0,9,0.5,0.0,0.6,0.6
2020-05-09,168,3826.0,71.0,3,78.0,9,0.55,0.0,0.6,0.6
2020-05-10,168,3826.0,71.0,3,78.0,9,0.81,0.0,0.0,0.5
2020-05-11,168,3957.0,52.0,2,92.0,9,0.81,0.0,0.0,0.3
2020-05-12,168,4008.0,49.0,2,93.0,9,0.0,0.0,0.0,0.3
2020-05-13,168,4060.0,47.0,2,94.0,9,0.0,0.0,0.0,0.3
2020-05-14,168,4145.0,44.0,2,98.0,9,0.0,0.0,0.0,0.3
2020-05-15,168,4252.0,38.0,2,105.0,9,0.0,0.0,0.0,0.0
2020-05-16,168,4202.0,30.0,1,111.0,9,0.0,0.0,0.0,0.0
2020-05-17,168,4202.0,29.0,1,130.0,9,0.0,0.0,0.0,0.0
2020-05-18,168,4252.0,26.0,1,133.0,9,0.0,0.0,0.0,0.0
2020-05-19,168,4346.0,26.0,1,133.0,9,,0.0,0.0,0.0
2020-05-20,168,4385.0,22.0,1,137.0,9,,0.0,0.0,0.0
2020-05-21,168,4427.0,20.0,1,139.0,9,,0.0,0.0,0.0
2020-05-22,168,4469.0,17.0,0,142.0,9,,0.0,0.0,0.0
2020-05-23,168,4469.0,14.0,0,145.0,9,,0.0,0.0,0.0
2020-05-24,168,4469.0,14.0,0,145.0,9,,0.0,0.0,0.0
2020-05-25,168,4534.0,14.0,0,145.0,9,,0.0,0.0,0.0
2020-05-26,168,4540.0,11.0,0,145.0,10,,0.0,0.0,0.0
2020-05-27,168,4574.0,11.0,0,147.0,10,,0.0,0.0,0.0
2020-05-28,168,4601.0,9.0,0,149.0,10,,0.0,0.0,0.0
2020-05-29,168,4628.0,7.0,0,151.0,10,,0.0,0.0,0.0
2020-05-30,168,4628.0,7.0,0,151.0,10,,0.0,0.0,0.0
2020-05-31,168,4628.0,7.0,0,151.0,10,,0.0,0.0,0.0
2020-06-01,168,4684.0,6.0,0,152.0,10,,0.0,0.0,0.0
2020-06-02,168,4691.0,5.0,0,153.0,10,,0.0,0.0,0.0
2020-06-03,168,4721.0,5.0,0,153.0,10,,0.0,0.0,0.0
2020-06-04,168,4746.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-05,168,4772.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-06,168,4772.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-07,168,4772.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-08,168,4866.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-09,168,4872.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-10,168,4934.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-11,168,4962.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-12,168,5005.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-13,168,5005.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-14,168,5005.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-15,168,5050.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-16,168,5053.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-17,168,5082.0,3.0,0,155.0,10,,0.0,0.0,0.0
2020-06-18,168,5107.0,3.0,0,155.0,10,,0.0,0.0,0.0
