datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,0,88.0,,,,,,,,
2020-03-12,0,91.0,,,,,,0.0,,
2020-03-13,0,98.0,,,,,,0.0,,
2020-03-14,0,98.0,,,,,,0.0,,
2020-03-15,0,98.0,,,,,,0.0,,
2020-03-16,0,102.0,,,,,,0.0,0.0,
2020-03-17,1,109.0,,,,,,1.0,0.2,
2020-03-18,1,122.0,1.0,,0.0,0,,0.0,0.2,
2020-03-19,1,128.0,1.0,,0.0,0,,0.0,0.2,
2020-03-20,1,133.0,1.0,,0.0,0,,0.0,0.2,
2020-03-21,1,142.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-22,1,147.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-23,1,157.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-24,1,160.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-25,1,168.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-26,1,191.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-27,1,197.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-28,1,197.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-29,1,212.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-30,1,243.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-31,2,243.0,2.0,,0.0,0,,1.0,0.2,0.1
2020-04-01,2,243.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-04-02,2,304.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-04-03,2,344.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-04-04,2,344.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-04-05,2,344.0,2.0,,0.0,0,,0.0,0.0,0.1
2020-04-06,2,371.0,2.0,,0.0,0,,0.0,0.0,0.1
2020-04-07,2,398.0,2.0,,0.0,0,0.0,0.0,0.0,0.1
2020-04-08,3,415.0,3.0,,0.0,0,1.0,1.0,0.2,0.2
2020-04-09,3,441.0,3.0,,0.0,0,1.0,0.0,0.2,0.2
2020-04-10,4,480.0,4.0,,0.0,0,1.64,1.0,0.4,0.2
2020-04-11,4,480.0,3.0,,1.0,0,1.64,0.0,0.4,0.2
2020-04-12,8,480.0,7.0,,1.0,0,3.6,4.0,1.2,0.6
2020-04-13,16,546.0,15.0,,1.0,0,6.59,8.0,2.6,1.4
2020-04-14,20,637.0,19.0,,1.0,0,,4.0,3.4,1.8
2020-04-15,20,721.0,19.0,,1.0,0,7.57,0.0,3.2,1.8
2020-04-16,21,833.0,20.0,,1.0,0,7.88,1.0,3.4,1.9
2020-04-17,24,967.0,23.0,,1.0,0,5.18,3.0,3.2,2.2
2020-04-18,24,967.0,23.0,,1.0,0,5.18,0.0,1.6,2.1
2020-04-19,25,967.0,24.0,,1.0,0,2.1,1.0,1.0,2.2
2020-04-20,26,967.0,25.0,,1.0,0,0.79,1.0,1.2,2.2
2020-04-21,26,1273.0,25.0,,1.0,0,0.46,0.0,1.0,2.2
2020-04-22,26,1350.0,24.0,,2.0,0,0.48,0.0,0.4,1.8
2020-04-23,28,1393.0,24.0,,4.0,0,0.51,2.0,0.8,1.2
2020-04-24,28,1427.0,24.0,,4.0,0,0.32,0.0,0.6,0.8
2020-04-25,28,1427.0,23.0,,5.0,0,0.32,0.0,0.4,0.8
2020-04-26,28,1427.0,23.0,,5.0,0,0.29,0.0,0.4,0.7
2020-04-27,28,1512.0,23.0,,5.0,0,0.32,0.0,0.4,0.4
2020-04-28,28,1537.0,22.0,,6.0,0,0.46,0.0,0.0,0.4
2020-04-29,28,1537.0,21.0,,7.0,0,0.46,0.0,0.0,0.3
2020-04-30,28,1613.0,21.0,,7.0,0,0.0,0.0,0.0,0.2
2020-05-01,28,1643.0,21.0,,7.0,0,0.0,0.0,0.0,0.2
2020-05-02,28,1643.0,21.0,,7.0,0,0.0,0.0,0.0,0.2
2020-05-03,28,1711.0,19.0,,9.0,0,0.0,0.0,0.0,0.0
2020-05-04,28,1711.0,17.0,,11.0,0,0.0,0.0,0.0,0.0
2020-05-05,28,1731.0,17.0,,11.0,0,0.0,0.0,0.0,0.0
2020-05-06,28,1739.0,17.0,,11.0,0,0.0,0.0,0.0,0.0
2020-05-07,28,1753.0,16.0,,12.0,0,,0.0,0.0,0.0
2020-05-08,28,1787.0,15.0,0,13.0,0,,0.0,0.0,0.0
2020-05-09,28,1820.0,15.0,0,13.0,0,,0.0,0.0,0.0
2020-05-10,28,1841.0,8.0,0,20.0,0,,0.0,0.0,0.0
2020-05-11,28,1852.0,7.0,0,21.0,0,,0.0,0.0,0.0
2020-05-12,28,1875.0,7.0,0,21.0,0,,0.0,0.0,0.0
2020-05-13,28,1894.0,6.0,0,22.0,0,,0.0,0.0,0.0
2020-05-14,28,1907.0,2.0,0,26.0,0,,0.0,0.0,0.0
2020-05-15,28,1935.0,2.0,0,26.0,0,,0.0,0.0,0.0
2020-05-16,28,1962.0,2.0,0,26.0,0,,0.0,0.0,0.0
2020-05-17,28,1983.0,1.0,0,27.0,0,,0.0,0.0,0.0
2020-05-18,28,1988.0,1.0,0,27.0,0,,0.0,0.0,0.0
2020-05-19,28,2013.0,1.0,0,27.0,0,,0.0,0.0,0.0
2020-05-20,28,2023.0,1.0,0,27.0,0,,0.0,0.0,0.0
2020-05-21,28,2046.0,1.0,0,27.0,0,,0.0,0.0,0.0
2020-05-22,28,2065.0,1.0,0,27.0,0,,0.0,0.0,0.0
2020-05-23,28,2086.0,1.0,0,27.0,0,,0.0,0.0,0.0
2020-05-24,28,2094.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-05-25,28,2099.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-05-26,28,2112.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-05-27,28,2131.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-05-28,28,2155.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-05-29,28,2169.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-05-30,28,2178.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-05-31,28,2187.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-01,28,2192.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-02,28,2202.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-03,28,2225.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-04,28,2245.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-05,28,2256.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-06,28,2274.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-07,28,2283.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-08,28,2288.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-09,28,2312.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-10,28,2344.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-11,28,2362.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-12,28,2365.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-13,28,2375.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-14,28,2380.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-15,28,2380.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-16,28,2386.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-17,28,2421.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-18,28,2460.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-19,28,2467.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-20,28,2511.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-21,28,2513.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-22,28,2513.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-23,28,2522.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-24,28,2570.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-25,28,2583.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-26,28,2593.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-27,28,2636.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-28,28,2646.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-29,28,2649.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-06-30,28,2698.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-01,28,2754.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-02,28,2754.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-03,28,2776.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-04,28,2792.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-05,28,2822.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-06,28,2822.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-07,28,2842.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-08,28,2895.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-09,28,2919.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-10,28,2952.0,0.0,0,28.0,0,,0.0,0.0,0.0
2020-07-11,29,2975.0,1.0,0,28.0,0,,1.0,0.2,0.1
2020-07-12,29,2975.0,1.0,0,28.0,0,,0.0,0.2,0.1
2020-07-13,29,2991.0,1.0,0,28.0,0,,0.0,0.2,0.1
2020-07-14,30,3045.0,2.0,0,28.0,0,,1.0,0.4,0.2
2020-07-15,31,3229.0,3.0,0,28.0,0,,1.0,0.6,0.3
2020-07-16,42,3287.0,4.0,0,28.0,0,,11.0,2.6,1.4
2020-07-17,42,3287.0,4.0,0,28.0,0,,0.0,2.6,1.4
2020-07-18,42,3418.0,14.0,0,28.0,0,6.25,0.0,2.6,1.4
2020-07-19,44,3607.0,16.0,0,28.0,0,6.92,2.0,2.8,1.6
2020-07-20,44,3836.0,16.0,0,28.0,0,6.92,0.0,2.6,1.6
2020-07-21,44,3921.0,16.0,0,28.0,0,4.01,0.0,0.4,1.5
2020-07-22,44,4149.0,16.0,0,28.0,0,2.85,0.0,0.4,1.5
2020-07-23,45,4184.0,17.0,0,28.0,0,0.33,1.0,0.6,1.6
2020-07-24,45,4184.0,17.0,0,28.0,0,0.33,0.0,0.2,1.5
2020-07-25,45,4213.0,14.0,0,31.0,0,0.35,0.0,0.2,1.4
2020-07-26,45,4243.0,12.0,0,33.0,0,0.14,0.0,0.2,0.3
2020-07-27,45,4354.0,12.0,0,33.0,0,0.14,0.0,0.2,0.3
2020-07-28,45,4484.0,9.0,0,36.0,0,0.15,0.0,0.0,0.3
2020-07-29,46,4579.0,7.0,0,39.0,0,0.26,1.0,0.2,0.2
2020-07-30,46,4635.0,5.0,0,41.0,0,0.46,0.0,0.2,0.2
2020-07-31,46,4635.0,4.0,0,42.0,0,0.46,0.0,0.2,0.2
2020-08-01,46,4779.0,4.0,0,42.0,0,0.46,0.0,0.2,0.2
2020-08-02,46,4782.0,4.0,0,42.0,0,1.0,0.0,0.2,0.1
2020-08-03,46,4782.0,4.0,0,42.0,0,1.0,0.0,0.0,0.1
2020-08-04,46,4941.0,4.0,0,42.0,0,1.0,0.0,0.0,0.1
2020-08-05,46,4941.0,4.0,0,42.0,0,0.0,0.0,0.0,0.1
2020-08-06,53,5029.0,11.0,0,42.0,0,4.01,7.0,1.4,0.8
2020-08-07,57,5169.0,12.0,1,45.0,0,5.54,4.0,2.2,1.2
2020-08-08,58,5419.0,12.0,1,46.0,0,5.9,1.0,2.4,1.2
2020-08-09,59,5464.0,13.0,1,46.0,0,6.25,1.0,2.6,1.3
2020-08-10,60,5553.0,14.0,1,46.0,0,6.59,1.0,2.8,1.4
2020-08-11,60,5870.0,13.0,1,47.0,0,6.59,0.0,1.4,1.4
2020-08-12,60,6063.0,13.0,1,47.0,0,,0.0,0.6,1.4
2020-08-13,60,6124.0,10.0,1,50.0,0,1.0,0.0,0.4,1.4
2020-08-14,61,6215.0,10.0,0,50.0,1,0.49,1.0,0.4,1.5
2020-08-15,62,6293.0,11.0,0,50.0,1,0.46,1.0,0.4,1.6
2020-08-16,63,6293.0,11.0,0,51.0,1,0.43,1.0,0.6,1.0
2020-08-17,65,6505.0,8.0,0,56.0,1,0.48,2.0,1.0,0.8
2020-08-18,65,6505.0,8.0,0,56.0,1,0.48,0.0,1.0,0.7
2020-08-19,67,6682.0,10.0,0,56.0,1,0.61,2.0,1.2,0.8
2020-08-20,68,6867.0,7.0,0,60.0,1,1.1,1.0,1.2,0.8
2020-08-21,71,7001.0,10.0,0,60.0,1,1.92,3.0,1.6,1.1
2020-08-22,71,7095.0,10.0,0,60.0,1,1.78,0.0,1.2,1.1
2020-08-23,71,7112.0,10.0,0,60.0,1,1.64,0.0,1.2,1.1
2020-08-24,71,7184.0,10.0,0,60.0,1,1.14,0.0,0.8,1.0
2020-08-25,74,7369.0,12.0,0,61.0,1,1.52,3.0,1.2,1.2
2020-08-26,74,7369.0,10.0,0,63.0,1,1.0,0.0,0.6,1.1
2020-08-27,74,7665.0,9.0,0,64.0,1,0.81,0.0,0.6,0.9
2020-08-28,74,7772.0,5.0,0,68.0,1,0.42,0.0,0.6,0.9
2020-08-29,77,7877.0,7.0,0,69.0,1,0.75,3.0,1.2,1.0
2020-08-30,77,7898.0,7.0,0,69.0,1,0.81,0.0,0.6,0.9
2020-08-31,77,7992.0,7.0,0,69.0,1,1.0,0.0,0.6,0.6
2020-09-01,77,8176.0,7.0,0,69.0,1,0.46,0.0,0.6,0.6
2020-09-02,78,8291.0,7.0,0,70.0,1,0.67,1.0,0.8,0.7
2020-09-03,82,8521.0,10.0,0,71.0,1,1.23,4.0,1.0,1.1
2020-09-04,82,8521.0,10.0,0,71.0,1,2.01,0.0,1.0,0.8
2020-09-05,84,8677.0,11.0,0,72.0,1,1.12,2.0,1.4,1.0
2020-09-06,84,8695.0,10.0,0,73.0,1,1.12,0.0,1.4,1.0
2020-09-07,84,8794.0,10.0,0,73.0,1,1.12,0.0,1.2,1.0
2020-09-08,85,8883.0,10.0,0,73.0,2,2.01,1.0,0.6,0.8
2020-09-09,86,9006.0,11.0,0,73.0,2,1.64,1.0,0.8,0.9
2020-09-10,86,9006.0,11.0,0,73.0,2,0.61,0.0,0.4,0.9
2020-09-11,87,9222.0,12.0,0,73.0,2,0.71,1.0,0.6,1.0
2020-09-12,87,9272.0,10.0,0,75.0,2,0.55,0.0,0.6,0.9
2020-09-13,89,9296.0,9.0,0,78.0,2,0.79,2.0,0.8,0.7
2020-09-14,89,9497.0,9.0,0,78.0,2,0.79,0.0,0.6,0.7
2020-09-15,92,9636.0,12.0,0,78.0,2,0.91,3.0,1.2,0.8
2020-09-16,92,9801.0,11.0,0,79.0,2,0.81,0.0,1.0,0.8
2020-09-17,92,9956.0,10.0,0,80.0,2,1.34,0.0,1.0,0.8
2020-09-18,93,10008.0,9.0,0,82.0,2,1.14,1.0,0.8,0.8
2020-09-19,93,10050.0,9.0,0,82.0,2,1.64,0.0,0.8,0.7
2020-09-20,93,10074.0,9.0,0,82.0,2,0.85,0.0,0.2,0.7
2020-09-21,93,10083.0,9.0,0,82.0,2,0.85,0.0,0.2,0.6
2020-09-22,93,10106.0,9.0,0,82.0,2,0.25,0.0,0.2,0.6
2020-09-23,93,10138.0,9.0,0,82.0,2,0.28,0.0,0.0,0.4
2020-09-24,93,10297.0,8.0,0,83.0,2,0.28,0.0,0.0,0.4
2020-09-25,93,10406.0,6.0,0,85.0,2,0.0,0.0,0.0,0.1
2020-09-26,93,10449.0,4.0,0,87.0,2,0.0,0.0,0.0,0.1
2020-09-27,93,10460.0,3.0,0,88.0,2,0.0,0.0,0.0,0.1
2020-09-28,93,10520.0,3.0,0,88.0,2,0.0,0.0,0.0,0.0
2020-09-29,93,10637.0,3.0,0,88.0,2,0.0,0.0,0.0,0.0
2020-09-30,93,10671.0,3.0,0,88.0,2,0.0,0.0,0.0,0.0
2020-10-01,93,10787.0,3.0,0,88.0,2,0.0,0.0,0.0,0.0
2020-10-02,93,10851.0,3.0,0,88.0,2,,0.0,0.0,0.0
2020-10-03,93,10886.0,3.0,0,88.0,2,,0.0,0.0,0.0
2020-10-04,93,10931.0,3.0,0,88.0,2,,0.0,0.0,0.0
2020-10-05,93,11002.0,3.0,0,88.0,2,,0.0,0.0,0.0
2020-10-06,93,11167.0,3.0,0,88.0,2,,0.0,0.0,0.0
2020-10-07,93,11253.0,1.0,0,90.0,2,,0.0,0.0,0.0
2020-10-08,93,11368.0,0.0,0,91.0,2,,0.0,0.0,0.0
2020-10-09,93,11409.0,0.0,0,91.0,2,,0.0,0.0,0.0
2020-10-10,93,11478.0,0.0,0,91.0,2,,0.0,0.0,0.0
2020-10-11,94,11526.0,1.0,0,91.0,2,,1.0,0.2,0.1
2020-10-12,94,11526.0,1.0,0,91.0,2,,0.0,0.2,0.1
2020-10-13,96,11827.0,3.0,0,91.0,2,,2.0,0.6,0.3
2020-10-14,96,11948.0,3.0,0,91.0,2,,0.0,0.6,0.3
2020-10-15,96,12082.0,3.0,0,91.0,2,,0.0,0.6,0.3
2020-10-16,97,12231.0,4.0,0,91.0,2,,1.0,0.6,0.4
2020-10-17,98,12344.0,5.0,0,91.0,2,,1.0,0.8,0.5
2020-10-18,99,12432.0,4.0,0,93.0,2,3.16,1.0,0.6,0.6
2020-10-19,99,12515.0,4.0,0,93.0,2,3.16,0.0,0.6,0.6
2020-10-20,99,12599.0,4.0,0,93.0,2,1.0,0.0,0.6,0.6
2020-10-21,99,12691.0,3.0,0,94.0,2,1.0,0.0,0.4,0.5
2020-10-22,100,12840.0,4.0,0,94.0,2,1.23,1.0,0.4,0.6
2020-10-23,101,12904.0,5.0,0,94.0,2,1.0,1.0,0.4,0.5
2020-10-24,101,12950.0,4.0,0,95.0,2,0.69,0.0,0.4,0.5
2020-10-25,101,12994.0,4.0,0,95.0,2,0.52,0.0,0.4,0.5
2020-10-26,101,13053.0,4.0,0,95.0,2,0.52,0.0,0.4,0.4
2020-10-27,101,13252.0,4.0,0,95.0,2,0.75,0.0,0.2,0.3
2020-10-28,101,13321.0,4.0,0,95.0,2,0.75,0.0,0.0,0.2
2020-10-29,101,13385.0,4.0,0,95.0,2,0.37,0.0,0.0,0.2
2020-10-30,101,13467.0,4.0,0,95.0,2,0.0,0.0,0.0,0.2
2020-10-31,101,13518.0,4.0,0,95.0,2,0.0,0.0,0.0,0.2
2020-11-01,101,13518.0,4.0,0,95.0,2,0.0,0.0,0.0,0.1
2020-11-02,101,13601.0,4.0,0,95.0,2,0.0,0.0,0.0,0.0
2020-11-03,102,13637.0,5.0,0,95.0,2,0.61,1.0,0.2,0.1
2020-11-04,102,13732.0,3.0,0,97.0,2,0.61,0.0,0.2,0.1
2020-11-05,103,13845.0,4.0,0,97.0,2,1.64,1.0,0.4,0.2
2020-11-06,104,13911.0,4.0,0,98.0,2,,1.0,0.6,0.3
2020-11-07,104,14083.0,2.0,0,100.0,2,,0.0,0.6,0.3
2020-11-08,105,14148.0,3.0,0,100.0,2,,1.0,0.6,0.4
2020-11-09,107,14223.0,5.0,0,100.0,2,,2.0,1.0,0.6
2020-11-10,107,14353.0,5.0,0,100.0,2,3.16,0.0,0.8,0.6
2020-11-11,108,14533.0,6.0,0,100.0,2,3.6,1.0,0.8,0.7
2020-11-12,110,14703.0,8.0,0,100.0,2,2.45,2.0,1.2,0.9
2020-11-13,113,14848.0,11.0,0,100.0,2,2.19,3.0,1.6,1.1
2020-11-14,114,14893.0,11.0,0,101.0,2,2.36,1.0,1.4,1.2
2020-11-15,114,14905.0,11.0,0,101.0,2,1.78,0.0,1.4,1.1
2020-11-16,115,15083.0,12.0,0,101.0,2,1.23,1.0,1.4,1.1
2020-11-17,121,15287.0,17.0,0,102.0,2,2.09,6.0,2.2,1.7
2020-11-18,122,15450.0,17.0,0,103.0,2,1.83,1.0,1.8,1.7
2020-11-19,125,15605.0,17.0,0,106.0,2,1.72,3.0,2.2,1.8
2020-11-20,127,15760.0,19.0,0,106.0,2,1.37,2.0,2.6,2.0
2020-11-21,129,15802.0,21.0,0,106.0,2,1.34,2.0,2.8,2.1
2020-11-22,131,15828.0,23.0,0,106.0,2,1.58,2.0,2.0,2.1
2020-11-23,131,15835.0,21.0,0,108.0,2,1.64,0.0,1.8,1.8
2020-11-24,132,16011.0,22.0,0,108.0,2,0.84,1.0,1.4,1.8
2020-11-25,132,16227.0,22.0,0,108.0,2,0.79,0.0,1.0,1.8
2020-11-26,134,16352.0,19.0,0,113.0,2,0.69,2.0,1.0,1.9
