datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0,,,,,,,,,
2020-01-27,0,,,,,,,0.0,,
2020-01-28,0,,,,,,,0.0,,
2020-01-29,0,,,,,,,0.0,,
2020-01-30,0,,,,,,,0.0,,
2020-01-31,0,,,,,,,0.0,0.0,
2020-02-01,0,,,,,,,0.0,0.0,
2020-02-02,0,,,,,,,0.0,0.0,
2020-02-03,0,,,,,,,0.0,0.0,
2020-02-04,0,,,,,,,0.0,0.0,
2020-02-05,0,,,,,,,0.0,0.0,0.0
2020-02-06,0,,,,,,,0.0,0.0,0.0
2020-02-07,0,,,,,,,0.0,0.0,0.0
2020-02-08,0,,,,,,,0.0,0.0,0.0
2020-02-09,0,,,,,,,0.0,0.0,0.0
2020-02-10,0,,,,,,,0.0,0.0,0.0
2020-02-11,0,,,,,,,0.0,0.0,0.0
2020-02-12,0,,,,,,,0.0,0.0,0.0
2020-02-13,0,,,,,,,0.0,0.0,0.0
2020-02-14,0,,,,,,,0.0,0.0,0.0
2020-02-15,0,,,,,,,0.0,0.0,0.0
2020-02-16,0,,,,,,,0.0,0.0,0.0
2020-02-17,0,,,,,,,0.0,0.0,0.0
2020-02-18,0,,,,,,,0.0,0.0,0.0
2020-02-19,0,,,,,,,0.0,0.0,0.0
2020-02-20,0,,,,,,,0.0,0.0,0.0
2020-02-21,0,,,,,,,0.0,0.0,0.0
2020-02-22,3,,,,,,,3.0,0.6,0.3
2020-02-23,3,,,,,,,0.0,0.6,0.3
2020-02-24,3,,,,,,,0.0,0.6,0.3
2020-02-25,5,,,,,,,2.0,1.0,0.5
2020-02-26,5,,,,,,,0.0,1.0,0.5
2020-02-27,5,,,,,,,0.0,0.4,0.5
2020-02-28,5,,,,,,,0.0,0.4,0.5
2020-02-29,5,,,,,,,0.0,0.4,0.5
2020-03-01,5,,,,,,,0.0,0.0,0.5
2020-03-02,5,,,,,,,0.0,0.0,0.5
2020-03-03,5,,,,,,,0.0,0.0,0.2
2020-03-04,5,,,,,,,0.0,0.0,0.2
2020-03-05,6,,,,,,,1.0,0.2,0.3
2020-03-06,6,,,,,,,0.0,0.2,0.1
2020-03-07,6,,,,,,,0.0,0.2,0.1
2020-03-08,6,,,,,,,0.0,0.2,0.1
2020-03-09,6,,,,,,,0.0,0.2,0.1
2020-03-10,6,,,,,,,0.0,0.0,0.1
2020-03-11,6,,,,,,,0.0,0.0,0.1
2020-03-12,6,,,,,,,0.0,0.0,0.1
2020-03-13,6,,,,,,,0.0,0.0,0.1
2020-03-14,6,,,,,,,0.0,0.0,0.1
2020-03-15,6,,,,,,,0.0,0.0,0.0
2020-03-16,6,393.0,,,,,,0.0,0.0,0.0
2020-03-17,6,393.0,,,,,,0.0,0.0,0.0
2020-03-18,6,393.0,5.0,,0.0,0.0,,0.0,0.0,0.0
2020-03-19,7,467.0,6.0,,0.0,0.0,,1.0,0.2,0.1
2020-03-20,7,476.0,6.0,,0.0,0.0,,0.0,0.2,0.1
2020-03-21,7,487.0,5.0,,1.0,0.0,,0.0,0.2,0.1
2020-03-22,7,490.0,5.0,,1.0,0.0,,0.0,0.2,0.1
2020-03-23,7,521.0,5.0,,1.0,0.0,,0.0,0.2,0.1
2020-03-24,7,543.0,5.0,,1.0,0.0,,0.0,0.0,0.1
2020-03-25,8,567.0,4.0,,2.0,0.0,,1.0,0.2,0.2
2020-03-26,8,595.0,5.0,,2.0,0.0,1.0,0.0,0.2,0.2
2020-03-27,10,658.0,7.0,,2.0,0.0,2.19,2.0,0.6,0.4
2020-03-28,11,674.0,7.0,,3.0,0.0,2.19,1.0,0.8,0.5
2020-03-29,12,693.0,7.0,,3.0,0.0,2.19,1.0,1.0,0.5
2020-03-30,14,856.0,8.0,,3.0,0.0,2.69,2.0,1.2,0.7
2020-03-31,14,925.0,11.0,,3.0,0.0,4.01,0.0,1.2,0.7
2020-04-01,15,925.0,12.0,,3.0,0.0,4.42,1.0,1.0,0.8
2020-04-02,15,1036.0,12.0,,3.0,0.0,4.01,0.0,0.8,0.8
2020-04-03,18,1095.0,12.0,,3.0,0.0,1.44,3.0,1.2,1.1
2020-04-04,18,1125.0,13.0,,3.0,0.0,1.64,0.0,0.8,1.0
2020-04-05,19,1144.0,17.0,,3.0,0.0,2.36,1.0,1.0,1.1
2020-04-06,19,1420.0,17.0,,3.0,0.0,1.78,0.0,0.8,0.9
2020-04-07,21,1461.0,18.0,,3.0,0.0,1.0,2.0,1.2,1.0
2020-04-08,22,1552.0,20.0,,3.0,0.0,1.0,1.0,0.8,1.0
2020-04-09,23,1639.0,19.0,,4.0,0.0,1.1,1.0,1.0,0.9
2020-04-10,24,1693.0,18.0,,4.0,1.0,1.4,1.0,1.0,1.0
2020-04-11,25,1728.0,18.0,,4.0,1.0,1.12,1.0,1.2,1.0
2020-04-12,27,1728.0,23.0,,4.0,1.0,0.85,2.0,1.2,1.2
2020-04-13,28,1877.0,22.0,,5.0,1.0,0.92,1.0,1.2,1.0
2020-04-14,31,1944.0,23.0,,5.0,1.0,1.1,3.0,1.6,1.3
2020-04-15,33,2056.0,25.0,,5.0,1.0,1.0,2.0,1.8,1.4
2020-04-16,33,2131.0,25.0,,5.0,1.0,1.0,0.0,1.6,1.4
2020-04-17,35,2204.0,28.0,,6.0,1.0,1.34,2.0,1.6,1.4
2020-04-18,37,2208.0,28.0,,6.0,1.0,1.47,2.0,1.8,1.5
2020-04-19,40,2274.0,32.0,,6.0,1.0,1.26,3.0,1.8,1.7
2020-04-20,41,2350.0,32.0,,7.0,1.0,1.34,1.0,1.6,1.7
2020-04-21,42,2465.0,32.0,,7.0,1.0,1.34,1.0,1.8,1.7
2020-04-22,43,2518.0,33.0,,7.0,1.0,1.17,1.0,1.6,1.6
2020-04-23,44,2577.0,34.0,,8.0,1.0,1.34,1.0,1.4,1.6
2020-04-24,45,2623.0,33.0,,9.0,1.0,0.75,1.0,1.0,1.4
2020-04-25,45,2623.0,33.0,,9.0,1.0,0.75,0.0,0.8,1.2
2020-04-26,47,2623.0,33.0,,11.0,1.0,0.65,2.0,1.0,1.4
2020-04-27,47,2912.0,32.0,,12.0,1.0,0.54,0.0,0.8,1.2
2020-04-28,47,3002.0,32.0,,12.0,1.0,0.46,0.0,0.6,1.0
2020-04-29,47,3002.0,34.0,,12.0,1.0,0.69,0.0,0.4,0.7
2020-04-30,47,3148.0,33.0,,13.0,1.0,0.46,0.0,0.4,0.6
2020-05-01,47,3178.0,33.0,,13.0,1.0,0.61,0.0,0.0,0.5
2020-05-02,47,3178.0,33.0,,13.0,1.0,0.61,0.0,0.0,0.4
2020-05-03,47,3178.0,32.0,,13.0,2.0,0.46,0.0,0.0,0.3
2020-05-04,47,3178.0,32.0,,13.0,2.0,0.52,0.0,0.0,0.2
2020-05-05,47,3178.0,32.0,,13.0,2.0,0.61,0.0,0.0,0.2
2020-05-06,47,3178.0,29.0,,16.0,2.0,0.0,0.0,0.0,0.0
2020-05-07,47,3313.0,29.0,,16.0,2.0,0.0,0.0,0.0,0.0
2020-05-08,48,3375.0,29.0,3.0,17.0,2.0,0.37,1.0,0.2,0.1
2020-05-09,48,3375.0,27.0,2.0,18.0,3.0,0.37,0.0,0.2,0.1
2020-05-10,48,3415.0,27.0,2.0,18.0,3.0,0.61,0.0,0.2,0.1
2020-05-11,48,3492.0,22.0,2.0,23.0,3.0,0.61,0.0,0.2,0.1
2020-05-12,48,3547.0,21.0,2.0,24.0,3.0,0.61,0.0,0.2,0.1
