datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0.0,,,,,,,,,
2020-01-27,0.0,,,,,,,0.0,,
2020-01-28,0.0,,,,,,,0.0,,
2020-01-29,0.0,,,,,,,0.0,,
2020-01-30,0.0,,,,,,,0.0,,
2020-01-31,0.0,,,,,,,0.0,0.0,
2020-02-01,0.0,,,,,,,0.0,0.0,
2020-02-02,0.0,,,,,,,0.0,0.0,
2020-02-03,0.0,,,,,,,0.0,0.0,
2020-02-04,0.0,,,,,,,0.0,0.0,
2020-02-05,0.0,,,,,,,0.0,0.0,0.0
2020-02-06,0.0,,,,,,,0.0,0.0,0.0
2020-02-07,0.0,,,,,,,0.0,0.0,0.0
2020-02-08,0.0,,,,,,,0.0,0.0,0.0
2020-02-09,0.0,,,,,,,0.0,0.0,0.0
2020-02-10,0.0,,,,,,,0.0,0.0,0.0
2020-02-11,0.0,,,,,,,0.0,0.0,0.0
2020-02-12,0.0,,,,,,,0.0,0.0,0.0
2020-02-13,0.0,,,,,,,0.0,0.0,0.0
2020-02-14,0.0,,,,,,,0.0,0.0,0.0
2020-02-15,0.0,,,,,,,0.0,0.0,0.0
2020-02-16,0.0,,,,,,,0.0,0.0,0.0
2020-02-17,0.0,,,,,,,0.0,0.0,0.0
2020-02-18,0.0,,,,,,,0.0,0.0,0.0
2020-02-19,0.0,,,,,,,0.0,0.0,0.0
2020-02-20,0.0,,,,,,,0.0,0.0,0.0
2020-02-21,0.0,,,,,,,0.0,0.0,0.0
2020-02-22,0.0,,,,,,,0.0,0.0,0.0
2020-02-23,0.0,,,,,,,0.0,0.0,0.0
2020-02-24,0.0,,,,,,,0.0,0.0,0.0
2020-02-25,0.0,,,,,,,0.0,0.0,0.0
2020-02-26,0.0,,,,,,,0.0,0.0,0.0
2020-02-27,0.0,,,,,,,0.0,0.0,0.0
2020-02-28,0.0,,,,,,,0.0,0.0,0.0
2020-02-29,0.0,,,,,,,0.0,0.0,0.0
2020-03-01,0.0,,,,,,,0.0,0.0,0.0
2020-03-02,0.0,,,,,,,0.0,0.0,0.0
2020-03-03,0.0,,,,,,,0.0,0.0,0.0
2020-03-04,1.0,,,,,,,1.0,0.2,0.1
2020-03-05,1.0,,,,,,,0.0,0.2,0.1
2020-03-06,1.0,,,,,,,0.0,0.2,0.1
2020-03-07,1.0,,,,,,,0.0,0.2,0.1
2020-03-08,1.0,,,,,,,0.0,0.2,0.1
2020-03-09,1.0,,,,,,,0.0,0.0,0.1
2020-03-10,1.0,,,,,,,0.0,0.0,0.1
2020-03-11,1.0,78.0,,,,,,0.0,0.0,0.1
2020-03-12,1.0,97.0,,,,,,0.0,0.0,0.1
2020-03-13,1.0,113.0,,,,,,0.0,0.0,0.1
2020-03-14,1.0,113.0,,,,,,0.0,0.0,0.0
2020-03-15,1.0,113.0,,,,,,0.0,0.0,0.0
2020-03-16,1.0,114.0,,,,,,0.0,0.0,0.0
2020-03-17,1.0,129.0,,,,,,0.0,0.0,0.0
2020-03-18,1.0,143.0,3.0,,0.0,0.0,,0.0,0.0,0.0
2020-03-19,1.0,170.0,3.0,,0.0,0.0,,0.0,0.0,0.0
2020-03-20,2.0,179.0,3.0,,0.0,0.0,,1.0,0.2,0.1
2020-03-21,2.0,186.0,3.0,,0.0,0.0,,0.0,0.2,0.1
2020-03-22,2.0,189.0,3.0,,0.0,0.0,,0.0,0.2,0.1
2020-03-23,2.0,197.0,3.0,,0.0,0.0,,0.0,0.2,0.1
2020-03-24,3.0,205.0,2.0,,1.0,0.0,,1.0,0.4,0.2
2020-03-25,3.0,222.0,2.0,,1.0,0.0,,0.0,0.2,0.2
2020-03-26,3.0,235.0,2.0,,1.0,0.0,0.0,0.0,0.2,0.2
2020-03-27,3.0,236.0,2.0,,1.0,0.0,0.0,0.0,0.2,0.2
2020-03-28,3.0,241.0,2.0,,1.0,0.0,0.0,0.0,0.2,0.2
2020-03-29,3.0,242.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.2
2020-03-30,3.0,272.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.1
2020-03-31,3.0,284.0,2.0,,1.0,0.0,,0.0,0.0,0.1
2020-04-01,3.0,284.0,2.0,,1.0,0.0,,0.0,0.0,0.1
