datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,3,231.0,,,,,,,,
2020-03-12,3,245.0,,,,,,0.0,,
2020-03-13,3,255.0,,,,,,0.0,,
2020-03-14,4,255.0,,,,,,1.0,,
2020-03-15,4,255.0,,,,,,0.0,,
2020-03-16,4,280.0,,,,,,0.0,0.2,
2020-03-17,4,284.0,,,,,,0.0,0.2,
2020-03-18,4,295.0,3.0,,0.0,0,,0.0,0.2,
2020-03-19,4,306.0,3.0,,0.0,0,,0.0,0.0,
2020-03-20,4,306.0,2.0,,1.0,0,,0.0,0.0,
2020-03-21,4,306.0,2.0,,1.0,0,,0.0,0.0,0.1
2020-03-22,4,306.0,2.0,,1.0,0,,0.0,0.0,0.1
2020-03-23,4,336.0,2.0,,1.0,0,,0.0,0.0,0.1
2020-03-24,5,339.0,2.0,,2.0,0,,1.0,0.2,0.1
2020-03-25,5,339.0,2.0,,2.0,0,,0.0,0.2,0.1
2020-03-26,5,371.0,2.0,,2.0,0,1.0,0.0,0.2,0.1
2020-03-27,6,396.0,3.0,,2.0,0,1.64,1.0,0.4,0.2
2020-03-28,6,397.0,3.0,,3.0,0,,0.0,0.4,0.2
2020-03-29,8,397.0,5.0,,3.0,0,,2.0,0.6,0.4
2020-03-30,8,475.0,5.0,,3.0,0,,0.0,0.6,0.4
2020-03-31,8,506.0,5.0,,3.0,0,2.19,0.0,0.6,0.4
2020-04-01,9,506.0,6.0,,3.0,0,2.69,1.0,0.6,0.5
2020-04-02,9,596.0,6.0,,3.0,0,2.69,0.0,0.6,0.5
2020-04-03,10,667.0,6.0,,3.0,0,1.64,1.0,0.4,0.5
2020-04-04,11,669.0,7.0,,3.0,0,1.92,1.0,0.6,0.6
2020-04-05,12,670.0,8.0,,3.0,0,1.0,1.0,0.8,0.7
2020-04-06,14,736.0,10.0,,3.0,0,1.34,2.0,1.0,0.8
2020-04-07,14,762.0,11.0,,3.0,0,1.64,0.0,1.0,0.8
2020-04-08,19,783.0,16.0,,3.0,0,1.92,5.0,1.8,1.1
2020-04-09,21,841.0,18.0,,3.0,0,2.19,2.0,2.0,1.3
2020-04-10,28,892.0,25.0,,3.0,0,2.93,7.0,3.2,2.0
2020-04-11,28,899.0,25.0,,3.0,0,2.4,0.0,2.8,1.9
2020-04-12,29,899.0,26.0,,3.0,0,2.81,1.0,3.0,2.0
2020-04-13,34,1068.0,30.0,,4.0,0,2.36,5.0,3.0,2.4
2020-04-14,35,1106.0,31.0,,4.0,0,2.45,1.0,2.8,2.4
2020-04-15,36,1159.0,32.0,,4.0,0,1.46,1.0,1.6,2.4
2020-04-16,45,1219.0,41.0,,4.0,0,1.64,9.0,3.4,3.1
2020-04-17,47,1271.0,43.0,,4.0,0,1.04,2.0,3.6,3.3
2020-04-18,47,1273.0,43.0,,4.0,0,1.08,0.0,2.6,2.8
2020-04-19,52,1273.0,48.0,,4.0,0,1.24,5.0,3.4,3.1
2020-04-20,52,1401.0,46.0,,6.0,0,0.93,0.0,3.2,2.4
2020-04-21,54,1417.0,46.0,,6.0,0,0.93,2.0,1.8,2.6
2020-04-22,56,1468.0,50.0,,6.0,0,1.12,2.0,1.8,2.7
2020-04-23,59,1514.0,51.0,,8.0,0,0.68,3.0,2.4,2.5
2020-04-24,66,1548.0,59.0,,8.0,0,1.0,7.0,2.8,3.1
2020-04-25,66,1552.0,58.0,,8.0,0,1.0,0.0,2.8,3.0
2020-04-26,66,1553.0,49.0,,17.0,0,0.7,0.0,2.4,2.1
2020-04-27,66,1680.0,49.0,,17.0,0,0.84,0.0,2.0,1.9
2020-04-28,66,1703.0,49.0,,17.0,0,0.72,0.0,1.4,1.9
2020-04-29,66,1703.0,49.0,,17.0,0,0.61,0.0,0.0,1.4
2020-04-30,66,1798.0,49.0,,17.0,0,0.61,0.0,0.0,1.4
2020-05-01,66,1818.0,49.0,,17.0,0,0.0,0.0,0.0,1.2
2020-05-02,69,1818.0,46.0,,23.0,0,0.27,3.0,0.6,1.3
2020-05-03,70,1818.0,47.0,,23.0,0,0.41,1.0,0.8,1.1
2020-05-04,70,1818.0,44.0,,28.0,0,0.41,0.0,0.8,0.4
2020-05-05,72,1818.0,44.0,,28.0,0,0.61,2.0,1.2,0.6
2020-05-06,73,1818.0,41.0,,32.0,0,0.78,1.0,1.4,0.7
