datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,0,133.0,,,,,,,,
2020-03-12,0,140.0,,,,,,0.0,,
2020-03-13,0,150.0,,,,,,0.0,,
2020-03-14,1,150.0,,,,,,1.0,,
2020-03-15,1,150.0,,,,,,0.0,,
2020-03-16,1,173.0,,,,,,0.0,0.2,
2020-03-17,1,179.0,,,,,,0.0,0.2,
2020-03-18,1,200.0,,,,,,0.0,0.2,
2020-03-19,1,213.0,,,,,,0.0,0.0,
2020-03-20,1,213.0,,,,,,0.0,0.0,
2020-03-21,1,213.0,,,,,,0.0,0.0,0.1
2020-03-22,1,213.0,,,,,,0.0,0.0,0.1
2020-03-23,1,246.0,,,,,,0.0,0.0,0.1
2020-03-24,1,253.0,,,,,,0.0,0.0,0.0
2020-03-25,2,266.0,1.0,,0.0,0,,1.0,0.2,0.1
2020-03-26,2,279.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-27,2,292.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-28,2,292.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-03-29,2,292.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-03-30,2,331.0,2.0,,0.0,0,,0.0,0.0,0.1
2020-03-31,2,351.0,1.0,,1.0,0,,0.0,0.0,0.1
2020-04-01,5,351.0,4.0,,1.0,0,2.19,3.0,0.6,0.4
2020-04-02,5,429.0,4.0,,1.0,0,2.19,0.0,0.6,0.4
2020-04-03,7,505.0,5.0,,2.0,0,3.16,2.0,1.0,0.6
2020-04-04,8,505.0,6.0,,2.0,0,3.6,1.0,1.2,0.6
2020-04-05,9,505.0,7.0,,2.0,0,4.01,1.0,1.4,0.7
2020-04-06,9,665.0,7.0,,2.0,0,4.01,0.0,0.8,0.7
2020-04-07,9,709.0,7.0,,2.0,0,4.01,0.0,0.8,0.7
2020-04-08,12,813.0,10.0,,2.0,0,1.83,3.0,1.0,1.0
2020-04-09,14,880.0,12.0,,2.0,0,2.19,2.0,1.2,1.2
2020-04-10,14,933.0,12.0,,2.0,0,1.27,0.0,1.0,1.2
2020-04-11,14,933.0,12.0,,2.0,0,1.0,0.0,1.0,0.9
2020-04-12,14,933.0,12.0,,2.0,0,0.79,0.0,1.0,0.9
2020-04-13,14,1106.0,12.0,,2.0,0,0.79,0.0,0.4,0.7
2020-04-14,14,1142.0,12.0,,2.0,0,0.79,0.0,0.0,0.6
