datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0.0,,,,,,,,,
2020-01-27,0.0,,,,,,,0.0,,
2020-01-28,1.0,,,,,,,1.0,,
2020-01-29,1.0,,,,,,,0.0,,
2020-01-30,1.0,,,,,,,0.0,,
2020-01-31,1.0,,,,,,,0.0,0.2,
2020-02-01,1.0,,,,,,,0.0,0.2,
2020-02-02,1.0,,,,,,,0.0,0.0,
2020-02-03,1.0,,,,,,,0.0,0.0,
2020-02-04,1.0,,,,,,,0.0,0.0,
2020-02-05,1.0,,,,,,,0.0,0.0,0.1
2020-02-06,1.0,,,,,,,0.0,0.0,0.1
2020-02-07,1.0,,,,,,,0.0,0.0,0.0
2020-02-08,1.0,,,,,,,0.0,0.0,0.0
2020-02-09,1.0,,,,,,,0.0,0.0,0.0
2020-02-10,1.0,,,,,,,0.0,0.0,0.0
2020-02-11,1.0,,,,,,,0.0,0.0,0.0
2020-02-12,1.0,,,,,,,0.0,0.0,0.0
2020-02-13,1.0,,,,,,,0.0,0.0,0.0
2020-02-14,1.0,,,,,,,0.0,0.0,0.0
2020-02-15,1.0,,,,,,,0.0,0.0,0.0
2020-02-16,1.0,,,,,,,0.0,0.0,0.0
2020-02-17,1.0,,,,,,,0.0,0.0,0.0
2020-02-18,1.0,,,,,,,0.0,0.0,0.0
2020-02-19,1.0,,,,,,,0.0,0.0,0.0
2020-02-20,1.0,,,,,,,0.0,0.0,0.0
2020-02-21,1.0,,,,,,,0.0,0.0,0.0
2020-02-22,1.0,,,,,,,0.0,0.0,0.0
2020-02-23,1.0,,,,,,,0.0,0.0,0.0
2020-02-24,1.0,,,,,,,0.0,0.0,0.0
2020-02-25,1.0,,,,,,,0.0,0.0,0.0
2020-02-26,1.0,,,,,,,0.0,0.0,0.0
2020-02-27,1.0,,,,,,,0.0,0.0,0.0
2020-02-28,1.0,,,,,,,0.0,0.0,0.0
2020-02-29,1.0,,,,,,,0.0,0.0,0.0
2020-03-01,1.0,,,,,,,0.0,0.0,0.0
2020-03-02,1.0,,,,,,,0.0,0.0,0.0
2020-03-03,1.0,,,,,,,0.0,0.0,0.0
2020-03-04,1.0,,,,,,,0.0,0.0,0.0
2020-03-05,1.0,,,,,,,0.0,0.0,0.0
2020-03-06,4.0,,,,,,,3.0,0.6,0.3
2020-03-07,4.0,,,,,,,0.0,0.6,0.3
2020-03-08,4.0,,,,,,,0.0,0.6,0.3
2020-03-09,6.0,,,,,,,2.0,1.0,0.5
2020-03-10,7.0,,,,,,,1.0,1.2,0.6
2020-03-11,8.0,102.0,,,,,,1.0,0.8,0.7
2020-03-12,8.0,113.0,,,,,,0.0,0.8,0.7
2020-03-13,8.0,131.0,,,,,,0.0,0.8,0.7
2020-03-14,8.0,131.0,,,,,,0.0,0.4,0.7
2020-03-15,8.0,131.0,,,,,,0.0,0.2,0.7
2020-03-16,8.0,143.0,,,,,,0.0,0.0,0.4
2020-03-17,8.0,153.0,,,,,,0.0,0.0,0.4
2020-03-18,8.0,163.0,2.0,,2.0,0.0,,0.0,0.0,0.4
2020-03-19,8.0,176.0,2.0,,2.0,0.0,,0.0,0.0,0.2
2020-03-20,8.0,177.0,2.0,,2.0,0.0,,0.0,0.0,0.1
2020-03-21,8.0,184.0,2.0,,2.0,0.0,,0.0,0.0,0.0
2020-03-22,9.0,187.0,3.0,,2.0,0.0,,1.0,0.2,0.1
2020-03-23,9.0,205.0,2.0,,3.0,0.0,,0.0,0.2,0.1
2020-03-24,9.0,214.0,2.0,,3.0,0.0,,0.0,0.2,0.1
2020-03-25,9.0,225.0,2.0,,3.0,0.0,,0.0,0.2,0.1
2020-03-26,9.0,231.0,2.0,,3.0,0.0,,0.0,0.2,0.1
2020-03-27,9.0,253.0,2.0,,3.0,0.0,,0.0,0.0,0.1
2020-03-28,11.0,263.0,3.0,,8.0,0.0,,2.0,0.4,0.3
2020-03-29,11.0,263.0,3.0,,8.0,0.0,1.64,0.0,0.4,0.3
2020-03-30,11.0,292.0,3.0,,8.0,0.0,1.64,0.0,0.4,0.3
2020-03-31,11.0,314.0,3.0,,8.0,0.0,1.64,0.0,0.4,0.3
2020-04-01,15.0,314.0,7.0,,8.0,0.0,3.6,4.0,1.2,0.6
