datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0.0,,,,,,,,,
2020-01-27,0.0,,,,,,,0.0,,
2020-01-28,0.0,,,,,,,0.0,,
2020-01-29,0.0,,,,,,,0.0,,
2020-01-30,0.0,,,,,,,0.0,,
2020-01-31,0.0,,,,,,,0.0,0.0,
2020-02-01,0.0,,,,,,,0.0,0.0,
2020-02-02,0.0,,,,,,,0.0,0.0,
2020-02-03,0.0,,,,,,,0.0,0.0,
2020-02-04,0.0,,,,,,,0.0,0.0,
2020-02-05,0.0,,,,,,,0.0,0.0,0.0
2020-02-06,0.0,,,,,,,0.0,0.0,0.0
2020-02-07,0.0,,,,,,,0.0,0.0,0.0
2020-02-08,0.0,,,,,,,0.0,0.0,0.0
2020-02-09,0.0,,,,,,,0.0,0.0,0.0
2020-02-10,0.0,,,,,,,0.0,0.0,0.0
2020-02-11,0.0,,,,,,,0.0,0.0,0.0
2020-02-12,0.0,,,,,,,0.0,0.0,0.0
2020-02-13,0.0,,,,,,,0.0,0.0,0.0
2020-02-14,0.0,,,,,,,0.0,0.0,0.0
2020-02-15,0.0,,,,,,,0.0,0.0,0.0
2020-02-16,0.0,,,,,,,0.0,0.0,0.0
2020-02-17,0.0,,,,,,,0.0,0.0,0.0
2020-02-18,0.0,,,,,,,0.0,0.0,0.0
2020-02-19,0.0,,,,,,,0.0,0.0,0.0
2020-02-20,0.0,,,,,,,0.0,0.0,0.0
2020-02-21,0.0,,,,,,,0.0,0.0,0.0
2020-02-22,0.0,,,,,,,0.0,0.0,0.0
2020-02-23,0.0,,,,,,,0.0,0.0,0.0
2020-02-24,0.0,,,,,,,0.0,0.0,0.0
2020-02-25,0.0,,,,,,,0.0,0.0,0.0
2020-02-26,0.0,,,,,,,0.0,0.0,0.0
2020-02-27,0.0,,,,,,,0.0,0.0,0.0
2020-02-28,0.0,,,,,,,0.0,0.0,0.0
2020-02-29,1.0,,,,,,,1.0,0.2,0.1
2020-03-01,1.0,,,,,,,0.0,0.2,0.1
2020-03-02,2.0,,,,,,,1.0,0.4,0.2
2020-03-03,5.0,,,,,,,3.0,1.0,0.5
2020-03-04,5.0,,,,,,,0.0,1.0,0.5
2020-03-05,6.0,,,,,,,1.0,1.0,0.6
2020-03-06,6.0,,,,,,,0.0,1.0,0.6
2020-03-07,6.0,,,,,,,0.0,0.8,0.6
2020-03-08,6.0,,,,,,,0.0,0.2,0.6
2020-03-09,8.0,,,,,,,2.0,0.6,0.8
2020-03-10,11.0,,,,,,,3.0,1.0,1.0
2020-03-11,11.0,,,,,,,0.0,1.0,1.0
2020-03-12,14.0,,,,,,,3.0,1.6,1.2
2020-03-13,14.0,,,,,,,0.0,1.6,0.9
2020-03-14,16.0,,,,,,,2.0,1.6,1.1
2020-03-15,16.0,,,,,,,0.0,1.0,1.0
2020-03-16,17.0,,,,,,,1.0,1.2,1.1
2020-03-17,21.0,,,,,,,4.0,1.4,1.5
2020-03-18,22.0,,16.0,,1.0,0.0,,1.0,1.6,1.6
2020-03-19,24.0,647.0,16.0,,1.0,0.0,,2.0,1.6,1.6
2020-03-20,25.0,647.0,16.0,,1.0,0.0,,1.0,1.8,1.4
2020-03-21,27.0,647.0,20.0,,2.0,0.0,,2.0,2.0,1.6
2020-03-22,27.0,648.0,19.0,,3.0,0.0,,0.0,1.2,1.3
2020-03-23,27.0,786.0,19.0,,3.0,0.0,,0.0,1.0,1.3
2020-03-24,28.0,812.0,21.0,,3.0,0.0,,1.0,0.8,1.2
2020-03-25,29.0,845.0,21.0,,3.0,0.0,,1.0,0.8,1.3
2020-03-26,29.0,920.0,21.0,,3.0,0.0,1.1,0.0,0.4,1.2
2020-03-27,30.0,977.0,17.0,,7.0,0.0,1.1,1.0,0.6,0.9
2020-03-28,31.0,977.0,24.0,,7.0,0.0,0.54,1.0,0.8,0.9
2020-03-29,31.0,977.0,24.0,,7.0,0.0,0.54,0.0,0.6,0.7
2020-03-30,31.0,1024.0,24.0,,7.0,0.0,0.54,0.0,0.4,0.6
2020-03-31,31.0,1061.0,21.0,,10.0,0.0,0.5,0.0,0.4,0.4
2020-04-01,32.0,1061.0,21.0,,10.0,0.0,0.37,1.0,0.4,0.5
