datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,0,125.0,,,,,,,,
2020-03-12,0,141.0,,,,,,0.0,,
2020-03-13,0,141.0,,,,,,0.0,,
2020-03-14,0,141.0,,,,,,0.0,,
2020-03-15,0,141.0,,,,,,0.0,,
2020-03-16,0,160.0,,,,,,0.0,0.0,
2020-03-17,0,166.0,,,,,,0.0,0.0,
2020-03-18,0,175.0,,,,,,0.0,0.0,
2020-03-19,0,181.0,,,,,,0.0,0.0,
2020-03-20,0,181.0,,,,,,0.0,0.0,
2020-03-21,0,181.0,,,,,,0.0,0.0,0.0
2020-03-22,1,181.0,1.0,,0.0,0,,1.0,0.2,0.1
2020-03-23,1,206.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-24,1,219.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-25,1,233.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-26,1,243.0,1.0,,0.0,0,,0.0,0.2,0.1
2020-03-27,2,251.0,2.0,,0.0,0,,1.0,0.2,0.2
2020-03-28,3,251.0,3.0,,0.0,0,,1.0,0.4,0.3
2020-03-29,3,251.0,3.0,,0.0,0,,0.0,0.4,0.3
2020-03-30,4,309.0,4.0,,0.0,0,,1.0,0.6,0.4
2020-03-31,4,321.0,4.0,,0.0,0,,0.0,0.6,0.4
2020-04-01,4,321.0,4.0,,0.0,0,,0.0,0.4,0.3
2020-04-02,7,365.0,7.0,,0.0,0,,3.0,0.8,0.6
2020-04-03,9,390.0,9.0,,0.0,0,,2.0,1.2,0.8
2020-04-04,10,390.0,10.0,,0.0,0,,1.0,1.2,0.9
2020-04-05,11,390.0,11.0,,0.0,0,,1.0,1.4,1.0
2020-04-06,11,479.0,11.0,,0.0,0,1.83,0.0,1.4,0.9
2020-04-07,12,496.0,12.0,,0.0,0,2.01,1.0,1.0,0.9
2020-04-08,15,534.0,15.0,,0.0,0,2.53,3.0,1.2,1.2
2020-04-09,16,564.0,16.0,,0.0,0,1.34,1.0,1.2,1.2
2020-04-10,16,595.0,15.0,,1.0,0,1.0,0.0,1.0,1.2
2020-04-11,16,595.0,15.0,,1.0,0,0.9,0.0,1.0,1.2
2020-04-12,16,595.0,15.0,,1.0,0,0.71,0.0,0.8,0.9
2020-04-13,16,669.0,15.0,,1.0,0,0.79,0.0,0.2,0.7
2020-04-14,16,688.0,15.0,,1.0,0,0.61,0.0,0.0,0.6
2020-04-15,16,722.0,15.0,,1.0,0,0.18,0.0,0.0,0.5
2020-04-16,18,748.0,17.0,,1.0,0,0.34,2.0,0.4,0.7
2020-04-17,18,775.0,17.0,,1.0,0,0.41,0.0,0.4,0.6
2020-04-18,18,775.0,15.0,,3.0,0,0.46,0.0,0.4,0.3
2020-04-19,19,887.0,16.0,,3.0,0,0.69,1.0,0.6,0.3
2020-04-20,19,930.0,15.0,,4.0,0,0.69,0.0,0.6,0.3
2020-04-21,19,992.0,15.0,,4.0,0,0.81,0.0,0.2,0.3
2020-04-22,19,992.0,15.0,,4.0,0,2.19,0.0,0.2,0.3
2020-04-23,19,1015.0,14.0,,5.0,0,0.61,0.0,0.2,0.3
2020-04-24,20,1041.0,15.0,,5.0,0,1.0,1.0,0.2,0.4
2020-04-25,21,1041.0,16.0,,5.0,0,1.34,1.0,0.4,0.5
2020-04-26,22,1041.0,17.0,,5.0,0,1.0,1.0,0.6,0.4
