datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-02-14,1,,,,,,,,,
2020-02-15,1,,,,,,,0.0,,
2020-02-16,1,,,,,,,0.0,,
2020-02-17,1,,,,,,,0.0,,
2020-02-18,1,,,,,,,0.0,,
2020-02-19,2,,,,,,,1.0,0.2,
2020-02-20,3,,,,,,,1.0,0.4,
2020-02-21,3,,,,,,,0.0,0.4,
2020-02-22,3,,,,,,,0.0,0.4,
2020-02-23,3,,,,,,,0.0,0.4,
2020-02-24,3,,,,,,,0.0,0.2,0.2
2020-02-25,3,,,,,,,0.0,0.0,0.2
2020-02-26,3,,,,,,,0.0,0.0,0.2
2020-02-27,3,,,,,,,0.0,0.0,0.2
2020-02-28,3,,,,,,,0.0,0.0,0.2
2020-02-29,3,,,,,,0.0,0.0,0.0,0.1
2020-03-01,3,,,,,,0.0,0.0,0.0,0.0
2020-03-02,3,,,,,,0.0,0.0,0.0,0.0
2020-03-03,3,,,,,,0.0,0.0,0.0,0.0
2020-03-04,3,,,,,,0.0,0.0,0.0,0.0
2020-03-05,3,,,,,,,0.0,0.0,0.0
2020-03-06,3,,,,,,,0.0,0.0,0.0
2020-03-07,3,,,,,,,0.0,0.0,0.0
2020-03-08,3,,,,,,,0.0,0.0,0.0
2020-03-09,3,,,,,,,0.0,0.0,0.0
2020-03-10,3,,,,,,,0.0,0.0,0.0
2020-03-11,3,190.0,,,,,,0.0,0.0,0.0
2020-03-12,3,196.0,,,,,,0.0,0.0,0.0
2020-03-13,3,198.0,,,,,,0.0,0.0,0.0
2020-03-14,3,198.0,,,,,,0.0,0.0,0.0
2020-03-15,3,198.0,,,,,,0.0,0.0,0.0
2020-03-16,3,210.0,,,,,,0.0,0.0,0.0
2020-03-17,3,217.0,,,,,,0.0,0.0,0.0
2020-03-18,3,230.0,1.0,,2.0,0,,0.0,0.0,0.0
2020-03-19,3,238.0,1.0,,2.0,0,,0.0,0.0,0.0
2020-03-20,3,238.0,1.0,,2.0,0,,0.0,0.0,0.0
2020-03-21,3,238.0,1.0,,2.0,0,,0.0,0.0,0.0
2020-03-22,3,238.0,1.0,,2.0,0,,0.0,0.0,0.0
2020-03-23,4,263.0,1.0,,2.0,0,,1.0,0.2,0.1
2020-03-24,5,271.0,2.0,,2.0,0,,1.0,0.4,0.2
2020-03-25,5,271.0,2.0,,2.0,0,,0.0,0.4,0.2
2020-03-26,6,285.0,2.0,,2.0,0,,1.0,0.6,0.3
