datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,80,1302.0,,,7.0,,,,,
2020-03-12,89,1425.0,,,12.0,,,9.0,,
2020-03-13,92,1534.0,,,17.0,,,3.0,,
2020-03-14,102,1665.0,,,21.0,,,10.0,,
2020-03-15,106,1728.0,,,24.0,,,4.0,,
2020-03-16,108,1757.0,,,24.0,,,2.0,5.6,
2020-03-17,112,1910.0,,,27.0,,,4.0,4.6,
2020-03-18,117,2024.0,78.0,,33.0,1,,5.0,5.0,
2020-03-19,119,2125.0,79.0,,41.0,1,,2.0,3.4,
2020-03-20,123,2253.0,83.0,,44.0,1,,4.0,3.4,
2020-03-21,125,2298.0,81.0,,52.0,1,,2.0,3.4,4.5
2020-03-22,131,2350.0,85.0,,54.0,2,,6.0,3.8,4.2
2020-03-23,134,2397.0,87.0,,59.0,2,,3.0,3.4,4.2
2020-03-24,142,2569.0,94.0,,64.0,2,,8.0,4.6,4.0
2020-03-25,149,2668.0,90.0,,70.0,2,,7.0,5.2,4.3
2020-03-26,156,2806.0,93.0,,73.0,2,1.16,7.0,6.2,4.8
2020-03-27,176,2959.0,111.0,,77.0,2,1.47,20.0,9.0,6.4
2020-03-28,191,3150.0,142.0,,80.0,2,2.12,15.0,11.4,7.4
2020-03-29,208,3232.0,159.0,,80.0,2,2.23,17.0,13.2,8.9
2020-03-30,216,3311.0,167.0,,83.0,2,2.27,8.0,13.4,9.3
2020-03-31,244,3603.0,173.0,,88.0,2,2.4,28.0,17.6,11.9
2020-04-01,278,3852.0,207.0,,95.0,2,2.71,34.0,20.4,14.7
2020-04-02,311,4099.0,239.0,,97.0,3,2.78,33.0,24.0,17.7
2020-04-03,346,4373.0,272.0,,104.0,4,2.3,35.0,27.6,20.4
2020-04-04,387,4728.0,306.0,,110.0,4,2.18,41.0,34.2,23.8
2020-04-05,408,4868.0,324.0,,112.0,4,1.98,21.0,32.8,25.2
