datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,0,47.0,,,,,,,,
2020-03-12,0,50.0,,,,,,0.0,,
2020-03-13,1,52.0,,,,,,1.0,,
2020-03-14,1,52.0,,,,,,0.0,,
2020-03-15,1,52.0,,,,,,0.0,,
2020-03-16,1,82.0,,,,,,0.0,0.2,
2020-03-17,1,85.0,,,,,,0.0,0.2,
2020-03-18,1,91.0,1.0,,0.0,0,,0.0,0.0,
2020-03-19,1,100.0,1.0,,0.0,0,,0.0,0.0,
2020-03-20,1,102.0,1.0,,0.0,0,,0.0,0.0,
2020-03-21,1,102.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-22,1,103.0,1.0,,0.0,0,,0.0,0.0,0.1
2020-03-23,1,111.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-24,1,115.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-25,1,121.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-26,1,124.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-27,1,129.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-28,1,129.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-29,1,130.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-30,1,137.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-31,2,150.0,2.0,,0.0,0,,1.0,0.2,0.1
2020-04-01,4,150.0,4.0,,0.0,0,,2.0,0.6,0.3
2020-04-02,4,153.0,4.0,,0.0,0,,0.0,0.6,0.3
2020-04-03,5,184.0,5.0,,0.0,0,,1.0,0.8,0.4
2020-04-04,6,184.0,6.0,,0.0,0,,1.0,1.0,0.5
2020-04-05,8,189.0,7.0,,1.0,0,,2.0,1.2,0.7
2020-04-06,8,223.0,7.0,,1.0,0,,0.0,0.8,0.7
2020-04-07,9,245.0,8.0,,1.0,0,4.01,1.0,1.0,0.8
2020-04-08,11,271.0,10.0,,1.0,0,1.83,2.0,1.2,1.0
2020-04-09,11,334.0,10.0,,1.0,0,1.83,0.0,1.0,1.0
2020-04-10,12,356.0,11.0,,1.0,0,1.49,1.0,0.8,1.0
2020-04-11,12,367.0,11.0,,1.0,0,1.14,0.0,0.8,0.8
2020-04-12,13,367.0,12.0,,1.0,0,0.79,1.0,0.8,0.9
2020-04-13,13,405.0,12.0,,1.0,0,0.79,0.0,0.4,0.8
2020-04-14,15,422.0,14.0,,1.0,0,0.9,2.0,0.8,0.9
2020-04-15,15,451.0,16.0,,1.0,0,0.67,0.0,0.6,0.7
2020-04-16,15,489.0,14.0,,1.0,0,0.67,0.0,0.6,0.7
2020-04-17,16,513.0,15.0,,1.0,0,0.67,1.0,0.6,0.7
2020-04-18,16,583.0,15.0,,1.0,0,0.75,0.0,0.6,0.5
2020-04-19,17,587.0,16.0,,1.0,0,0.85,1.0,0.4,0.6
2020-04-20,17,587.0,16.0,,1.0,0,0.85,0.0,0.4,0.5
2020-04-21,17,602.0,16.0,,1.0,0,0.46,0.0,0.4,0.5
2020-04-22,18,636.0,16.0,,2.0,0,0.81,1.0,0.4,0.5
2020-04-23,21,682.0,19.0,,2.0,0,1.34,3.0,1.0,0.8
2020-04-24,32,711.0,26.0,,6.0,0,2.69,11.0,3.0,1.7
2020-04-25,36,711.0,30.0,,6.0,0,3.16,4.0,3.8,2.1
2020-04-26,36,750.0,30.0,,6.0,0,3.04,0.0,3.8,2.1
2020-04-27,36,912.0,30.0,,6.0,0,3.04,0.0,3.6,2.0
2020-04-28,37,930.0,31.0,,6.0,0,5.18,1.0,3.2,2.1
2020-04-29,38,950.0,32.0,,6.0,0,3.88,1.0,1.2,2.1
2020-04-30,41,1027.0,34.0,,7.0,0,2.36,3.0,1.0,2.4
2020-05-01,42,1077.0,35.0,,7.0,0,0.71,1.0,1.2,2.5
2020-05-02,42,1077.0,35.0,,7.0,0,0.42,0.0,1.2,2.4
2020-05-03,44,1077.0,35.0,,9.0,0,0.54,2.0,1.4,2.3
2020-05-04,44,1077.0,35.0,,10.0,0,0.54,0.0,1.2,1.2
2020-05-05,45,1077.0,35.0,,10.0,0,0.52,1.0,0.8,0.9
2020-05-06,45,1077.0,35.0,,10.0,0,0.47,0.0,0.6,0.9
2020-05-07,45,1143.0,35.0,,10.0,0,0.32,0.0,0.6,0.9
2020-05-08,45,1209.0,23.0,2,20.0,0,0.42,0.0,0.2,0.8
2020-05-09,45,1219.0,22.0,1,21.0,0,0.61,0.0,0.2,0.7
2020-05-10,45,1226.0,21.0,1,22.0,0,0.23,0.0,0.0,0.4
2020-05-11,45,1235.0,20.0,1,23.0,0,0.23,0.0,0.0,0.3
2020-05-12,45,1265.0,20.0,0,23.0,0,0.0,0.0,0.0,0.3
2020-05-13,46,1281.0,17.0,0,27.0,0,0.25,1.0,0.2,0.2
2020-05-14,46,1285.0,17.0,0,27.0,0,0.37,0.0,0.2,0.2
2020-05-15,46,1301.0,15.0,0,29.0,0,0.46,0.0,0.2,0.1
2020-05-16,47,1310.0,16.0,0,29.0,0,0.75,1.0,0.4,0.2
2020-05-17,47,1317.0,15.0,0,30.0,0,1.64,0.0,0.4,0.2
2020-05-18,47,1320.0,15.0,0,30.0,0,1.64,0.0,0.2,0.2
2020-05-19,47,1339.0,14.0,0,31.0,0,,0.0,0.2,0.2
2020-05-20,47,1354.0,14.0,0,31.0,0,1.0,0.0,0.2,0.2
2020-05-21,47,1361.0,13.0,0,32.0,0,1.0,0.0,0.0,0.2
2020-05-22,47,1372.0,13.0,0,32.0,0,1.0,0.0,0.0,0.2
2020-05-23,47,1376.0,12.0,0,33.0,0,0.0,0.0,0.0,0.1
2020-05-24,47,1377.0,12.0,0,33.0,0,0.0,0.0,0.0,0.1
2020-05-25,47,1377.0,11.0,0,34.0,0,0.0,0.0,0.0,0.1
2020-05-26,47,1386.0,10.0,0,35.0,0,0.0,0.0,0.0,0.0
2020-05-27,47,1389.0,10.0,0,35.0,0,0.0,0.0,0.0,0.0
2020-05-28,47,1398.0,10.0,0,35.0,0,0.0,0.0,0.0,0.0
2020-05-29,47,1407.0,8.0,0,37.0,0,0.0,0.0,0.0,0.0
2020-05-30,47,1410.0,8.0,0,37.0,0,,0.0,0.0,0.0
2020-05-31,47,1417.0,8.0,0,37.0,0,,0.0,0.0,0.0
2020-06-01,47,1418.0,3.0,0,42.0,0,,0.0,0.0,0.0
2020-06-02,47,1428.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-03,47,1443.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-04,47,1449.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-05,47,1467.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-06,47,1482.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-07,47,1483.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-08,47,1487.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-09,47,1505.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-10,47,1513.0,0.0,0,45.0,0,,0.0,0.0,0.0
2020-06-11,47,1523.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-12,47,1531.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-13,47,1540.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-14,47,1552.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-15,47,1559.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-16,47,1568.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-17,47,1575.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-18,47,1579.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-19,47,1588.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-20,47,1592.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-21,47,1592.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-22,47,1595.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-23,47,1600.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-24,47,1603.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-25,47,1605.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-26,47,1609.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-27,47,1611.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-28,47,1615.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-29,47,1618.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-06-30,47,1625.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-01,47,1625.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-02,47,1649.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-03,47,1659.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-04,47,1665.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-05,47,1666.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-06,47,1668.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-07,47,1677.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-08,47,1682.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-09,47,1686.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-10,47,1690.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-11,47,1697.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-12,47,1700.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-13,47,1703.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-14,47,1725.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-15,47,1738.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-16,47,1747.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-17,47,1766.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-18,47,1774.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-19,47,1781.0,0.0,0,47.0,0,,0.0,0.0,0.0
2020-07-20,48,1789.0,1.0,0,47.0,0,,1.0,0.2,0.1
2020-07-21,49,1801.0,2.0,0,47.0,0,,1.0,0.4,0.2
2020-07-22,55,1836.0,8.0,0,47.0,0,,6.0,1.6,0.8
2020-07-23,57,1864.0,10.0,0,47.0,0,,2.0,2.0,1.0
2020-07-24,63,2033.0,16.0,0,47.0,0,,6.0,3.2,1.6
2020-07-25,66,2108.0,19.0,0,47.0,0,,3.0,3.6,1.9
2020-07-26,67,2140.0,20.0,0,47.0,0,,1.0,3.6,2.0
2020-07-27,67,2160.0,20.0,0,47.0,0,8.19,0.0,2.4,2.0
2020-07-28,69,2185.0,21.0,0,48.0,0,5.18,2.0,2.4,2.2
2020-07-29,72,2252.0,23.0,0,49.0,0,1.71,3.0,1.8,2.5
2020-07-30,75,2357.0,26.0,0,50.0,0,1.52,3.0,1.8,2.7
2020-07-31,82,2407.0,33.0,0,53.0,0,1.13,7.0,3.0,3.3
2020-08-01,90,2491.0,42.0,0,58.0,0,1.18,8.0,4.6,3.5
2020-08-02,95,2555.0,47.0,0,59.0,0,1.27,5.0,5.2,3.8
2020-08-03,102,2609.0,55.0,0,60.0,0,1.55,7.0,6.0,3.9
2020-08-04,111,2726.0,66.0,0,62.0,0,1.7,9.0,7.2,4.5
2020-08-05,121,2822.0,74.0,0,62.0,0,2.13,10.0,7.8,5.4
2020-08-06,133,3036.0,85.0,0,64.0,0,2.31,12.0,8.6,6.6
2020-08-07,141,3262.0,88.0,0,69.0,0,2.25,8.0,9.2,7.2
2020-08-08,145,3305.0,87.0,0,70.0,0,1.81,4.0,8.6,7.3
2020-08-09,154,3398.0,95.0,0,80.0,0,1.7,9.0,8.6,7.9
2020-08-10,157,3464.0,82.0,0,94.0,0,1.38,3.0,7.2,7.5
2020-08-11,162,3521.0,79.0,0,97.0,0,1.15,5.0,5.8,7.2
2020-08-12,174,3635.0,72.0,0,105.0,0,1.06,12.0,6.6,7.9
2020-08-13,175,3718.0,72.0,0,106.0,0,0.79,1.0,6.0,7.3
2020-08-14,180,3799.0,69.0,0,117.0,0,0.74,5.0,5.2,6.9
2020-08-15,190,3893.0,76.0,0,117.0,0,0.87,10.0,6.6,6.9
2020-08-16,195,3933.0,68.0,0,128.0,0,0.77,5.0,6.6,6.2
2020-08-17,198,3983.0,67.0,0,133.0,0,0.81,3.0,4.8,5.7
2020-08-18,198,3983.0,67.0,0,133.0,0,0.78,0.0,4.6,5.3
2020-08-19,203,4082.0,50.0,0,155.0,0,0.65,5.0,4.6,4.9
2020-08-20,207,4196.0,51.0,0,158.0,0,0.82,4.0,3.4,5.0
2020-08-21,214,4278.0,50.0,1,164.0,0,0.91,7.0,3.8,5.2
2020-08-22,218,4425.0,45.0,1,174.0,0,0.71,4.0,4.0,4.4
2020-08-23,222,4467.0,45.0,0,177.0,0,0.74,4.0,4.8,4.7
2020-08-24,224,4522.0,42.0,0,182.0,0,0.72,2.0,4.2,4.4
2020-08-25,225,4629.0,36.0,0,189.0,0,0.81,1.0,3.6,3.5
2020-08-26,227,4663.0,36.0,0,192.0,0,0.87,2.0,2.6,3.2
2020-08-27,229,4711.0,31.0,0,199.0,0,0.77,2.0,2.2,3.1
2020-08-28,235,4917.0,30.0,0,206.0,0,0.71,6.0,2.6,3.7
2020-08-29,237,5023.0,29.0,0,209.0,0,0.76,2.0,2.6,3.4
2020-08-30,237,5035.0,27.0,0,211.0,0,0.66,0.0,2.4,3.0
2020-08-31,237,5076.0,24.0,0,214.0,0,0.61,0.0,2.0,2.3
2020-09-01,237,5132.0,18.0,0,220.0,0,0.56,0.0,1.6,1.9
2020-09-02,239,5151.0,18.0,0,222.0,0,0.61,2.0,0.8,1.7
2020-09-03,239,5212.0,17.0,0,223.0,0,0.57,0.0,0.4,1.5
2020-09-04,239,5212.0,17.0,0,223.0,0,0.31,0.0,0.4,1.4
2020-09-05,240,5265.0,10.0,0,230.0,0,0.27,1.0,0.6,1.3
2020-09-06,240,5265.0,10.0,0,230.0,0,0.32,0.0,0.6,1.1
2020-09-07,241,5272.0,7.0,0,234.0,0,0.43,1.0,0.4,0.6
2020-09-08,242,5310.0,8.0,0,234.0,0,0.54,1.0,0.6,0.5
2020-09-09,242,5358.0,5.0,0,237.0,0,0.37,0.0,0.6,0.5
2020-09-10,243,5421.0,6.0,0,237.0,0,0.52,1.0,0.6,0.6
2020-09-11,244,5470.0,6.0,0,238.0,0,1.17,1.0,0.8,0.7
2020-09-12,244,5508.0,4.0,0,240.0,0,1.23,0.0,0.6,0.5
2020-09-13,244,5517.0,4.0,0,240.0,0,1.23,0.0,0.4,0.5
2020-09-14,244,5532.0,4.0,0,240.0,0,0.81,0.0,0.4,0.5
2020-09-15,244,5567.0,4.0,0,240.0,0,0.52,0.0,0.2,0.4
2020-09-16,244,5588.0,1.0,0,243.0,0,0.75,0.0,0.0,0.4
2020-09-17,244,5614.0,1.0,0,243.0,0,0.37,0.0,0.0,0.3
2020-09-18,244,5639.0,1.0,0,243.0,0,0.0,0.0,0.0,0.2
2020-09-19,245,5662.0,2.0,0,244.0,0,0.37,1.0,0.2,0.3
2020-09-20,244,5686.0,2.0,0,244.0,0,0.0,-1.0,0.0,0.1
2020-09-21,244,5690.0,2.0,0,244.0,0,0.0,0.0,0.0,0.0
2020-09-22,244,5698.0,2.0,0,244.0,0,0.0,0.0,0.0,0.0
2020-09-23,244,5706.0,2.0,0,244.0,0,0.0,0.0,0.0,0.0
2020-09-24,244,5746.0,2.0,0,244.0,0,0.0,0.0,-0.2,0.0
2020-09-25,244,5796.0,2.0,0,244.0,0,,0.0,0.0,0.0
2020-09-26,245,5814.0,3.0,0,244.0,0,0.0,1.0,0.2,0.1
2020-09-27,245,5828.0,2.0,0,245.0,0,,0.0,0.2,0.1
2020-09-28,245,5874.0,2.0,0,245.0,0,,0.0,0.2,0.1
2020-09-29,245,5935.0,2.0,0,245.0,0,,0.0,0.2,0.0
2020-09-30,245,6005.0,1.0,0,246.0,0,,0.0,0.2,0.1
2020-10-01,245,6075.0,1.0,0,246.0,0,,0.0,0.0,0.1
2020-10-02,245,6130.0,1.0,0,246.0,0,,0.0,0.0,0.1
2020-10-03,246,6154.0,2.0,0,246.0,0,,1.0,0.2,0.2
2020-10-04,246,6156.0,2.0,0,246.0,0,1.0,0.0,0.2,0.2
2020-10-05,246,6166.0,1.0,0,247.0,0,1.0,0.0,0.2,0.2
2020-10-06,246,6199.0,1.0,0,247.0,0,1.0,0.0,0.2,0.1
2020-10-07,248,6231.0,3.0,0,247.0,0,2.19,2.0,0.6,0.3
2020-10-08,248,6243.0,3.0,0,247.0,0,2.19,0.0,0.4,0.3
2020-10-09,248,6267.0,3.0,0,247.0,0,2.19,0.0,0.4,0.3
2020-10-10,248,6280.0,3.0,0,247.0,0,1.64,0.0,0.4,0.3
2020-10-11,248,6282.0,3.0,0,247.0,0,1.64,0.0,0.4,0.3
2020-10-12,248,6296.0,2.0,0,248.0,0,1.64,0.0,0.0,0.3
2020-10-13,249,6322.0,3.0,0,248.0,0,2.19,1.0,0.2,0.3
2020-10-14,249,6335.0,3.0,0,248.0,0,0.46,0.0,0.2,0.3
2020-10-15,249,6369.0,3.0,0,248.0,0,0.46,0.0,0.2,0.3
2020-10-16,250,6431.0,3.0,0,249.0,0,0.75,1.0,0.4,0.4
2020-10-17,252,6495.0,5.0,0,249.0,0,1.64,2.0,0.8,0.4
2020-10-18,252,6545.0,5.0,0,249.0,0,1.64,0.0,0.6,0.4
2020-10-19,252,6617.0,5.0,0,249.0,0,1.64,0.0,0.6,0.4
2020-10-20,252,6690.0,5.0,0,249.0,0,1.0,0.0,0.6,0.4
2020-10-21,253,6774.0,5.0,0,250.0,0,2.69,1.0,0.6,0.5
2020-10-22,253,6820.0,4.0,0,251.0,0,2.69,0.0,0.2,0.5
2020-10-23,253,6890.0,4.0,0,251.0,0,1.34,0.0,0.2,0.4
2020-10-24,254,6897.0,4.0,0,252.0,0,0.61,1.0,0.4,0.5
2020-10-25,254,6917.0,4.0,0,252.0,0,0.61,0.0,0.4,0.5
2020-10-26,254,6936.0,3.0,0,253.0,0,0.61,0.0,0.2,0.4
2020-10-27,254,6968.0,2.0,0,254.0,0,0.75,0.0,0.2,0.2
2020-10-28,254,7005.0,2.0,0,254.0,0,0.37,0.0,0.2,0.2
2020-10-29,254,7054.0,1.0,0,255.0,0,0.37,0.0,0.0,0.2
2020-10-30,254,7074.0,0.0,0,256.0,0,0.46,0.0,0.0,0.2
2020-10-31,254,7081.0,0.0,0,256.0,0,0.0,0.0,0.0,0.1
2020-11-01,254,7081.0,0.0,0,256.0,0,0.0,0.0,0.0,0.1
2020-11-02,256,7117.0,2.0,0,256.0,0,1.0,2.0,0.4,0.3
2020-11-03,264,7279.0,10.0,0,256.0,0,3.16,8.0,2.0,1.0
2020-11-04,266,7350.0,12.0,0,256.0,0,5.9,2.0,2.4,1.2
2020-11-05,266,7429.0,12.0,0,256.0,0,5.9,0.0,2.4,1.2
2020-11-06,267,7480.0,13.0,0,256.0,0,6.25,1.0,2.6,1.3
2020-11-07,268,7612.0,13.0,0,257.0,0,,1.0,2.4,1.4
2020-11-08,268,7618.0,12.0,0,257.0,1,,0.0,0.8,1.4
2020-11-09,274,7708.0,18.0,0,257.0,1,4.8,6.0,1.6,2.0
2020-11-10,274,7808.0,18.0,0,257.0,1,1.0,0.0,1.6,2.0
2020-11-11,275,7879.0,19.0,0,257.0,1,0.81,1.0,1.6,2.1
2020-11-12,276,7955.0,20.0,0,257.0,1,0.88,1.0,1.6,2.0
2020-11-13,276,8003.0,12.0,0,265.0,1,0.77,0.0,1.6,1.2
2020-11-14,278,8030.0,13.0,0,266.0,1,0.79,2.0,0.8,1.2
2020-11-15,278,8048.0,12.0,0,267.0,1,0.79,0.0,0.8,1.2
2020-11-16,279,8136.0,11.0,0,269.0,1,0.4,1.0,0.8,1.2
2020-11-17,280,8235.0,12.0,0,269.0,1,0.69,1.0,0.8,1.2
2020-11-18,284,8340.0,16.0,0,269.0,1,1.0,4.0,1.6,1.6
2020-11-19,290,8483.0,16.0,0,275.0,1,1.27,6.0,2.4,1.6
2020-11-20,290,8602.0,15.0,0,276.0,1,1.37,0.0,2.4,1.6
2020-11-21,293,8789.0,18.0,0,276.0,1,1.34,3.0,2.8,1.8
2020-11-22,293,8850.0,17.0,0,277.0,1,1.34,0.0,2.6,1.7
2020-11-23,293,8901.0,16.0,0,278.0,1,2.09,0.0,1.8,1.7
2020-11-24,297,8987.0,18.0,0,280.0,1,2.1,4.0,1.4,1.9
2020-11-25,299,9220.0,18.0,0,282.0,1,1.44,2.0,1.8,2.1
2020-11-26,300,9342.0,18.0,0,283.0,1,0.79,1.0,1.4,2.1
2020-11-27,300,9506.0,19.0,0,283.0,1,0.79,0.0,1.4,2.0
2020-11-28,307,9571.0,25.0,0,284.0,1,0.95,7.0,2.8,2.3
2020-11-29,307,9621.0,23.0,0,286.0,1,0.95,0.0,2.0,1.7
2020-11-30,309,9667.0,24.0,0,287.0,1,1.1,2.0,2.0,1.9
2020-12-01,319,9795.0,29.0,0,291.0,2,1.2,10.0,3.8,2.6
2020-12-02,325,9931.0,34.0,0,292.0,2,1.48,6.0,5.0,3.2
2020-12-03,329,10160.0,38.0,0,292.0,2,2.14,4.0,4.4,3.6
2020-12-04,333,10295.0,41.0,0,293.0,2,2.35,4.0,5.2,3.6
2020-12-05,336,10424.0,42.0,0,294.0,2,1.68,3.0,5.4,3.7
2020-12-06,337,10504.0,41.0,0,298.0,2,1.72,1.0,3.6,3.7
2020-12-07,341,10620.0,40.0,0,302.0,2,1.64,4.0,3.2,4.1
2020-12-08,347,10755.0,43.0,0,305.0,2,1.19,6.0,3.6,4.0
2020-12-09,354,10900.0,48.0,0,310.0,2,1.08,7.0,4.2,4.7
2020-12-10,367,11101.0,60.0,0,311.0,3,1.21,13.0,6.2,5.8
2020-12-11,371,11401.0,55.0,0,315.0,3,1.11,4.0,6.8,5.2
2020-12-12,378,11599.0,51.0,0,326.0,3,1.3,7.0,7.4,5.3
2020-12-13,380,11860.0,52.0,0,327.0,3,1.29,2.0,6.6,5.1
2020-12-14,384,12001.0,53.0,0,330.0,3,1.23,4.0,6.0,5.1
2020-12-15,390,12246.0,54.0,0,336.0,3,1.36,6.0,4.6,5.4
2020-12-16,398,12611.0,54.0,0,346.0,3,1.35,8.0,5.4,6.1
2020-12-17,403,12810.0,53.0,0,353.0,3,0.96,5.0,5.0,6.2
2020-12-18,405,13004.0,48.0,0,359.0,3,0.92,2.0,5.0,5.8
2020-12-19,409,13199.0,51.0,1,360.0,3,0.8,4.0,5.0,5.5
2020-12-20,409,13371.0,42.0,1,369.0,3,0.75,0.0,3.8,4.2
2020-12-21,411,13513.0,41.0,1,372.0,3,0.72,2.0,2.6,4.0
2020-12-22,417,13682.0,42.0,1,377.0,3,0.72,6.0,2.8,3.9
2020-12-23,424,14049.0,45.0,1,381.0,3,0.69,7.0,3.8,4.4
2020-12-24,433,14290.0,53.0,1,382.0,3,0.88,9.0,4.8,4.9
2020-12-25,439,14468.0,52.0,1,389.0,3,1.0,6.0,6.0,4.9
2020-12-26,443,14538.0,52.0,1,393.0,3,1.07,4.0,6.4,4.5
2020-12-27,445,14579.0,53.0,1,394.0,3,1.17,2.0,5.6,4.2
2020-12-28,450,14638.0,49.0,1,403.0,3,1.3,5.0,5.2,4.5
2020-12-29,457,14755.0,54.0,1,405.0,3,1.32,7.0,4.8,4.8
2020-12-30,464,14991.0,60.0,1,406.0,3,1.36,7.0,5.0,5.5
2020-12-31,468,15014.0,61.0,1,409.0,3,1.12,4.0,5.0,5.7
2021-01-01,469,15020.0,62.0,1,409.0,3,0.91,1.0,4.8,5.2
2021-01-02,474,15041.0,53.0,1,424.0,3,0.94,5.0,4.8,5.0
2021-01-03,477,15063.0,52.0,1,428.0,3,0.92,3.0,4.0,4.4
2021-01-04,500,15346.0,70.0,1,432.0,3,1.19,23.0,7.2,6.1
2021-01-05,510,15527.0,73.0,1,440.0,3,1.22,10.0,8.4,6.7
2021-01-06,521,15796.0,78.0,1,448.0,3,1.29,11.0,10.4,7.6
2021-01-07,542,15996.0,97.0,1,450.0,3,1.71,21.0,13.6,9.2
2021-01-08,566,16188.0,114.0,1,457.0,3,2.31,24.0,17.8,10.9
2021-01-09,579,16379.0,124.0,1,460.0,3,2.39,13.0,15.8,11.5
2021-01-10,601,16572.0,144.0,1,464.0,3,2.63,22.0,18.2,13.3
2021-01-11,608,16742.0,146.0,1,469.0,3,1.73,7.0,17.4,13.9
