datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0,,,,,,,,,
2020-01-27,0,,,,,,,0.0,,
2020-01-28,0,,,,,,,0.0,,
2020-01-29,0,,,,,,,0.0,,
2020-01-30,0,,,,,,,0.0,,
2020-01-31,0,,,,,,,0.0,0.0,
2020-02-01,0,,,,,,,0.0,0.0,
2020-02-02,0,,,,,,,0.0,0.0,
2020-02-03,0,,,,,,,0.0,0.0,
2020-02-04,0,,,,,,,0.0,0.0,
2020-02-05,0,,,,,,,0.0,0.0,0.0
2020-02-06,0,,,,,,,0.0,0.0,0.0
2020-02-07,0,,,,,,,0.0,0.0,0.0
2020-02-08,0,,,,,,,0.0,0.0,0.0
2020-02-09,0,,,,,,,0.0,0.0,0.0
2020-02-10,0,,,,,,,0.0,0.0,0.0
2020-02-11,0,,,,,,,0.0,0.0,0.0
2020-02-12,0,,,,,,,0.0,0.0,0.0
2020-02-13,0,,,,,,,0.0,0.0,0.0
2020-02-14,0,,,,,,,0.0,0.0,0.0
2020-02-15,0,,,,,,,0.0,0.0,0.0
2020-02-16,0,,,,,,,0.0,0.0,0.0
2020-02-17,0,,,,,,,0.0,0.0,0.0
2020-02-18,0,,,,,,,0.0,0.0,0.0
2020-02-19,0,,,,,,,0.0,0.0,0.0
2020-02-20,0,,,,,,,0.0,0.0,0.0
2020-02-21,0,,,,,,,0.0,0.0,0.0
2020-02-22,0,,,,,,,0.0,0.0,0.0
2020-02-23,0,,,,,,,0.0,0.0,0.0
2020-02-24,0,,,,,,,0.0,0.0,0.0
2020-02-25,0,,,,,,,0.0,0.0,0.0
2020-02-26,0,,,,,,,0.0,0.0,0.0
2020-02-27,0,,,,,,,0.0,0.0,0.0
2020-02-28,0,,,,,,,0.0,0.0,0.0
2020-02-29,0,,,,,,,0.0,0.0,0.0
2020-03-01,0,,,,,,,0.0,0.0,0.0
2020-03-02,0,,,,,,,0.0,0.0,0.0
2020-03-03,0,,,,,,,0.0,0.0,0.0
2020-03-04,0,,,,,,,0.0,0.0,0.0
2020-03-05,2,,,,,,,2.0,0.4,0.2
2020-03-06,5,,,,,,,3.0,1.0,0.5
2020-03-07,5,,,,,,,0.0,1.0,0.5
2020-03-08,6,,,,,,,1.0,1.2,0.6
2020-03-09,6,,,,,,,0.0,1.2,0.6
2020-03-10,11,,,,,,,5.0,1.8,1.1
2020-03-11,13,264.0,,,,,,2.0,1.6,1.3
2020-03-12,19,440.0,,,,,,6.0,2.8,1.9
2020-03-13,21,440.0,,,,,,2.0,3.0,2.1
2020-03-14,28,440.0,,,,,,7.0,4.4,2.8
2020-03-15,28,440.0,,,,,,0.0,3.4,2.6
2020-03-16,28,584.0,,,,,,0.0,3.0,2.3
2020-03-17,33,614.0,,,,,,5.0,2.8,2.8
2020-03-18,34,646.0,28.0,,4.0,0.0,,1.0,2.6,2.8
2020-03-19,38,684.0,32.0,,4.0,0.0,,4.0,2.0,3.2
2020-03-20,41,684.0,32.0,,6.0,0.0,,3.0,2.6,3.0
2020-03-21,44,684.0,34.0,,7.0,0.0,,3.0,3.2,3.1
2020-03-22,50,684.0,34.0,,10.0,1.0,,6.0,3.4,3.1
2020-03-23,51,875.0,34.0,,11.0,1.0,,1.0,3.4,3.0
2020-03-24,58,898.0,41.0,,11.0,1.0,,7.0,4.0,3.0
2020-03-25,59,901.0,40.0,,12.0,1.0,,1.0,3.6,3.1
2020-03-26,66,1033.0,46.0,,13.0,1.0,1.27,7.0,4.4,3.8
2020-03-27,72,1104.0,51.0,,13.0,2.0,1.37,6.0,4.4,3.9
2020-03-28,78,1104.0,60.0,,15.0,3.0,1.71,6.0,5.4,4.4
2020-03-29,83,1105.0,65.0,,15.0,3.0,1.34,5.0,5.0,4.5
2020-03-30,84,1249.0,66.0,,15.0,3.0,1.29,1.0,5.0,4.3
2020-03-31,100,1293.0,80.0,,15.0,3.0,1.4,16.0,6.8,5.6
2020-04-01,102,1293.0,77.0,,20.0,4.0,1.45,2.0,6.0,5.2
2020-04-02,110,1476.0,88.0,,21.0,4.0,1.45,8.0,6.4,5.9
2020-04-03,134,1547.0,104.0,,23.0,4.0,1.58,24.0,10.2,7.6
2020-04-04,153,1547.0,126.0,,23.0,4.0,1.76,19.0,13.8,9.4
2020-04-05,177,1550.0,147.0,,23.0,4.0,2.06,24.0,15.4,11.1
2020-04-06,199,1647.0,168.0,,23.0,4.0,2.38,22.0,19.4,12.7
2020-04-07,211,1776.0,182.0,,23.0,4.0,2.07,12.0,20.2,13.3
2020-04-08,246,1839.0,215.0,,23.0,4.0,2.38,35.0,22.4,16.3
2020-04-09,278,1934.0,241.0,,25.0,5.0,2.38,32.0,25.0,19.4
2020-04-10,334,1973.0,295.0,,25.0,5.0,2.34,56.0,31.4,23.4
2020-04-11,356,2216.0,315.0,,25.0,5.0,1.96,22.0,31.4,25.4
2020-04-12,396,2216.0,355.0,,26.0,5.0,1.83,40.0,37.0,28.6
2020-04-13,424,2415.0,383.0,,26.0,5.0,1.62,28.0,35.6,29.0
2020-04-14,446,3056.0,399.0,,27.0,7.0,1.65,22.0,33.6,29.3
2020-04-15,495,3635.0,444.0,,28.0,7.0,1.45,49.0,32.2,31.8
2020-04-16,545,3836.0,494.0,,32.0,9.0,1.44,50.0,37.8,34.6
2020-04-17,582,3836.0,534.0,,32.0,9.0,1.2,37.0,37.2,37.1
2020-04-18,614,3836.0,569.0,,32.0,9.0,1.26,32.0,38.0,36.8
2020-04-19,649,4618.0,601.0,,32.0,9.0,1.14,35.0,40.6,37.1
2020-04-20,670,4732.0,621.0,,32.0,9.0,1.09,21.0,35.0,33.6
2020-04-21,680,5119.0,621.0,,32.0,9.0,1.08,10.0,27.0,32.4
2020-04-22,713,5432.0,670.0,,34.0,10.0,0.99,33.0,26.2,31.7
2020-04-23,751,5630.0,705.0,,34.0,14.0,0.87,38.0,27.4,32.7
2020-04-24,767,5889.0,718.0,,34.0,15.0,0.83,16.0,23.6,32.1
2020-04-25,785,6110.0,737.0,,34.0,15.0,0.75,18.0,23.0,29.0
2020-04-26,805,6256.0,754.0,,36.0,15.0,0.73,20.0,25.0,26.0
2020-04-27,822,6368.0,765.0,,42.0,15.0,0.73,17.0,21.8,24.0
2020-04-28,831,7007.0,771.0,,42.0,15.0,0.69,9.0,16.0,21.7
2020-04-29,841,7007.0,779.0,,49.0,15.0,0.65,10.0,14.8,19.2
2020-04-30,850,7818.0,785.0,,49.0,17.0,0.56,9.0,13.0,18.0
2020-05-01,862,8050.0,788.0,,52.0,17.0,0.58,12.0,11.4,18.2
2020-05-02,876,8778.0,809.0,,52.0,17.0,0.63,14.0,10.8,16.3
2020-05-03,883,8939.0,809.0,,54.0,25.0,0.61,7.0,10.4,13.2
2020-05-04,888,8939.0,814.0,,54.0,26.0,0.52,5.0,9.4,12.1
2020-05-05,891,9243.0,814.0,,60.0,27.0,0.61,3.0,8.2,10.6
2020-05-06,899,9324.0,820.0,,62.0,27.0,0.62,8.0,7.4,9.4
2020-05-07,926,9456.0,821.0,,73.0,28.0,0.79,27.0,10.0,10.4
2020-05-08,935,11394.0,391.0,10.0,514.0,41.0,0.99,9.0,10.4,10.4
2020-05-09,944,11661.0,396.0,10.0,525.0,41.0,0.94,9.0,11.2,10.3
2020-05-10,949,11917.0,377.0,11.0,548.0,42.0,0.97,5.0,11.6,9.9
2020-05-11,963,12884.0,311.0,9.0,616.0,42.0,1.17,14.0,12.8,10.1
