datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,0,64.0,,,,,,,,
2020-03-12,0,76.0,,,,,,0.0,,
2020-03-13,0,80.0,,,,,,0.0,,
2020-03-14,0,80.0,,,,,,0.0,,
2020-03-15,0,80.0,,,,,,0.0,,
2020-03-16,0,82.0,,,,,,0.0,0.0,
2020-03-17,0,84.0,,,,,,0.0,0.0,
2020-03-18,0,86.0,,,,,,0.0,0.0,
2020-03-19,0,91.0,,,,,,0.0,0.0,
2020-03-20,0,91.0,,,,,,0.0,0.0,
2020-03-21,0,92.0,,,,,,0.0,0.0,0.0
2020-03-22,0,95.0,,,,,,0.0,0.0,0.0
2020-03-23,0,101.0,,,,,,0.0,0.0,0.0
2020-03-24,0,105.0,,,,,,0.0,0.0,0.0
2020-03-25,0,106.0,,,,,,0.0,0.0,0.0
2020-03-26,0,109.0,,,,,,0.0,0.0,0.0
2020-03-27,0,117.0,,,,,,0.0,0.0,0.0
2020-03-28,0,121.0,,,,,,0.0,0.0,0.0
2020-03-29,0,128.0,,,,,,0.0,0.0,0.0
2020-03-30,0,130.0,,,,,,0.0,0.0,0.0
2020-03-31,0,136.0,,,,,,0.0,0.0,0.0
2020-04-01,0,136.0,,,,,,0.0,0.0,0.0
2020-04-02,0,152.0,,,,,,0.0,0.0,0.0
2020-04-03,0,158.0,,,,,,0.0,0.0,0.0
2020-04-04,0,161.0,,,,,,0.0,0.0,0.0
2020-04-05,0,163.0,,,,,,0.0,0.0,0.0
2020-04-06,0,166.0,,,,,,0.0,0.0,0.0
2020-04-07,0,170.0,,,,,,0.0,0.0,0.0
2020-04-08,0,185.0,,,,,,0.0,0.0,0.0
2020-04-09,1,191.0,1.0,,0.0,0,,1.0,0.2,0.1
2020-04-10,2,205.0,2.0,,0.0,0,,1.0,0.4,0.2
2020-04-11,6,205.0,6.0,,0.0,0,,4.0,1.2,0.6
2020-04-12,7,205.0,7.0,,0.0,0,,1.0,1.4,0.7
2020-04-13,8,366.0,8.0,,0.0,0,,1.0,1.6,0.8
2020-04-14,10,442.0,10.0,,0.0,0,,2.0,1.8,1.0
