datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0,,,,,,,,,
2020-01-27,0,,,,,,,0.0,,
2020-01-28,0,,,,,,,0.0,,
2020-01-29,0,,,,,,,0.0,,
2020-01-30,0,,,,,,,0.0,,
2020-01-31,0,,,,,,,0.0,0.0,
2020-02-01,0,,,,,,,0.0,0.0,
2020-02-02,0,,,,,,,0.0,0.0,
2020-02-03,0,,,,,,,0.0,0.0,
2020-02-04,0,,,,,,,0.0,0.0,
2020-02-05,0,,,,,,,0.0,0.0,0.0
2020-02-06,0,,,,,,,0.0,0.0,0.0
2020-02-07,0,,,,,,,0.0,0.0,0.0
2020-02-08,0,,,,,,,0.0,0.0,0.0
2020-02-09,0,,,,,,,0.0,0.0,0.0
2020-02-10,0,,,,,,,0.0,0.0,0.0
2020-02-11,0,,,,,,,0.0,0.0,0.0
2020-02-12,0,,,,,,,0.0,0.0,0.0
2020-02-13,0,,,,,,,0.0,0.0,0.0
2020-02-14,0,,,,,,,0.0,0.0,0.0
2020-02-15,0,,,,,,,0.0,0.0,0.0
2020-02-16,0,,,,,,,0.0,0.0,0.0
2020-02-17,0,,,,,,,0.0,0.0,0.0
2020-02-18,0,,,,,,,0.0,0.0,0.0
2020-02-19,0,,,,,,,0.0,0.0,0.0
2020-02-20,0,,,,,,,0.0,0.0,0.0
2020-02-21,0,,,,,,,0.0,0.0,0.0
2020-02-22,0,,,,,,,0.0,0.0,0.0
2020-02-23,0,,,,,,,0.0,0.0,0.0
2020-02-24,0,,,,,,,0.0,0.0,0.0
2020-02-25,0,,,,,,,0.0,0.0,0.0
2020-02-26,0,,,,,,,0.0,0.0,0.0
2020-02-27,0,,,,,,,0.0,0.0,0.0
2020-02-28,1,,,,,,,1.0,0.2,0.1
2020-02-29,1,,,,,,,0.0,0.2,0.1
2020-03-01,1,,,,,,,0.0,0.2,0.1
2020-03-02,1,,,,,,,0.0,0.2,0.1
2020-03-03,1,,,,,,,0.0,0.2,0.1
2020-03-04,1,,,,,,,0.0,0.0,0.1
2020-03-05,1,,,,,,,0.0,0.0,0.1
2020-03-06,1,,,,,,,0.0,0.0,0.1
2020-03-07,1,,,,,,,0.0,0.0,0.1
2020-03-08,1,,,,,,,0.0,0.0,0.1
2020-03-09,1,,,,,,,0.0,0.0,0.0
2020-03-10,2,,,,,,,1.0,0.2,0.1
2020-03-11,2,,,,,,,0.0,0.2,0.1
2020-03-12,3,,,,,,,1.0,0.4,0.2
2020-03-13,3,,,,,,,0.0,0.4,0.2
2020-03-14,3,,,,,,,0.0,0.4,0.2
2020-03-15,3,,,,,,,0.0,0.2,0.2
2020-03-16,3,,,,,,,0.0,0.2,0.2
2020-03-17,3,,,,,,,0.0,0.0,0.2
2020-03-18,3,,2.0,,1.0,0.0,,0.0,0.0,0.2
2020-03-19,3,,2.0,,1.0,0.0,,0.0,0.0,0.2
2020-03-20,3,,2.0,,1.0,0.0,,0.0,0.0,0.1
2020-03-21,3,,2.0,,1.0,0.0,,0.0,0.0,0.1
2020-03-22,3,,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-23,3,581.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-24,3,584.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-25,3,611.0,1.0,,2.0,0.0,,0.0,0.0,0.0
2020-03-26,3,645.0,1.0,,2.0,0.0,,0.0,0.0,0.0
2020-03-27,3,648.0,1.0,,2.0,0.0,,0.0,0.0,0.0
2020-03-28,3,660.0,2.0,,2.0,0.0,,0.0,0.0,0.0
2020-03-29,3,665.0,2.0,,2.0,0.0,,0.0,0.0,0.0
2020-03-30,7,701.0,2.0,,2.0,0.0,,4.0,0.8,0.4
2020-03-31,8,745.0,3.0,,3.0,0.0,,1.0,1.0,0.5
2020-04-01,12,745.0,3.0,,3.0,0.0,,4.0,1.8,0.9
2020-04-02,13,957.0,3.0,,3.0,0.0,,1.0,2.0,1.0
2020-04-03,15,1006.0,5.0,,3.0,0.0,,2.0,2.4,1.2
2020-04-04,16,1006.0,7.0,,3.0,0.0,3.6,1.0,1.8,1.3
2020-04-05,16,1006.0,7.0,,3.0,0.0,3.6,0.0,1.6,1.3
2020-04-06,16,1203.0,7.0,,3.0,0.0,3.6,0.0,0.8,1.3
2020-04-07,21,1221.0,7.0,,3.0,0.0,1.23,5.0,1.6,1.8
2020-04-08,26,1295.0,12.0,,3.0,0.0,2.19,5.0,2.2,2.3
2020-04-09,31,1389.0,13.0,,3.0,0.0,2.36,5.0,3.0,2.4
2020-04-10,36,1426.0,31.0,,3.0,0.0,3.25,5.0,4.0,2.8
2020-04-11,38,1426.0,36.0,,3.0,0.0,3.08,2.0,4.4,2.6
2020-04-12,40,1426.0,38.0,,3.0,0.0,3.23,2.0,3.8,2.7
2020-04-13,45,1606.0,43.0,,3.0,0.0,3.6,5.0,3.8,3.0
2020-04-14,46,1647.0,43.0,,3.0,0.0,4.8,1.0,3.0,3.0
2020-04-15,47,1790.0,44.0,,3.0,0.0,2.47,1.0,2.2,3.1
2020-04-16,47,1867.0,43.0,,5.0,0.0,2.3,0.0,1.8,3.1
2020-04-17,49,2011.0,46.0,,5.0,0.0,0.71,2.0,1.8,2.8
2020-04-18,49,2011.0,42.0,,8.0,0.0,0.5,0.0,0.8,2.3
2020-04-19,52,2040.0,44.0,,8.0,0.0,0.48,3.0,1.2,2.1
2020-04-20,52,2089.0,44.0,,8.0,0.0,0.28,0.0,1.0,1.6
2020-04-21,52,2221.0,44.0,,8.0,0.0,0.31,0.0,1.0,1.4
2020-04-22,56,2292.0,44.0,,13.0,0.0,0.44,4.0,1.4,1.6
2020-04-23,57,2306.0,45.0,,13.0,0.0,0.44,1.0,1.6,1.2
2020-04-24,58,2366.0,46.0,,13.0,0.0,0.66,1.0,1.2,1.2
2020-04-25,59,2366.0,49.0,,13.0,0.0,1.06,1.0,1.4,1.2
2020-04-26,60,2366.0,50.0,,13.0,0.0,1.0,1.0,1.6,1.3
2020-04-27,61,2547.0,51.0,,13.0,0.0,1.64,1.0,1.0,1.2
2020-04-28,66,2635.0,43.0,,24.0,0.0,1.64,5.0,1.8,1.7
2020-04-29,67,2635.0,44.0,,24.0,0.0,1.07,1.0,1.8,1.5
2020-04-30,70,2736.0,47.0,,24.0,1.0,1.27,3.0,2.2,1.8
2020-05-01,72,2780.0,48.0,,24.0,1.0,1.37,2.0,2.4,2.0
2020-05-02,72,2780.0,48.0,,24.0,1.0,0.94,0.0,2.2,1.6
2020-05-03,72,2780.0,48.0,,24.0,1.0,0.93,0.0,1.2,1.5
2020-05-04,72,2780.0,48.0,,24.0,1.0,0.81,0.0,1.0,1.4
2020-05-05,72,2780.0,48.0,,24.0,1.0,0.55,0.0,0.4,1.3
2020-05-06,72,2780.0,30.0,,42.0,1.0,0.57,0.0,0.0,1.2
2020-05-07,72,2792.0,30.0,,42.0,1.0,0.15,0.0,0.0,1.1
2020-05-08,72,3036.0,26.0,2.0,46.0,1.0,0.0,0.0,0.0,0.6
2020-05-09,72,3075.0,26.0,2.0,46.0,1.0,0.0,0.0,0.0,0.5
2020-05-10,72,3102.0,26.0,2.0,46.0,1.0,0.0,0.0,0.0,0.2
2020-05-11,72,3116.0,15.0,2.0,57.0,1.0,0.0,0.0,0.0,0.0
2020-05-12,72,3165.0,15.0,2.0,57.0,1.0,0.0,0.0,0.0,0.0
2020-05-13,72,3206.0,12.0,2.0,60.0,1.0,0.0,0.0,0.0,0.0
