datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0,,,,,,,,,
2020-01-27,0,,,,,,,0.0,,
2020-01-28,0,,,,,,,0.0,,
2020-01-29,0,,,,,,,0.0,,
2020-01-30,0,,,,,,,0.0,,
2020-01-31,0,,,,,,,0.0,0.0,
2020-02-01,0,,,,,,,0.0,0.0,
2020-02-02,0,,,,,,,0.0,0.0,
2020-02-03,0,,,,,,,0.0,0.0,
2020-02-04,0,,,,,,,0.0,0.0,
2020-02-05,0,,,,,,,0.0,0.0,0.0
2020-02-06,0,,,,,,,0.0,0.0,0.0
2020-02-07,0,,,,,,,0.0,0.0,0.0
2020-02-08,0,,,,,,,0.0,0.0,0.0
2020-02-09,0,,,,,,,0.0,0.0,0.0
2020-02-10,0,,,,,,,0.0,0.0,0.0
2020-02-11,0,,,,,,,0.0,0.0,0.0
2020-02-12,0,,,,,,,0.0,0.0,0.0
2020-02-13,0,,,,,,,0.0,0.0,0.0
2020-02-14,0,,,,,,,0.0,0.0,0.0
2020-02-15,0,,,,,,,0.0,0.0,0.0
2020-02-16,0,,,,,,,0.0,0.0,0.0
2020-02-17,0,,,,,,,0.0,0.0,0.0
2020-02-18,0,,,,,,,0.0,0.0,0.0
2020-02-19,0,,,,,,,0.0,0.0,0.0
2020-02-20,0,,,,,,,0.0,0.0,0.0
2020-02-21,0,,,,,,,0.0,0.0,0.0
2020-02-22,0,,,,,,,0.0,0.0,0.0
2020-02-23,0,,,,,,,0.0,0.0,0.0
2020-02-24,0,,,,,,,0.0,0.0,0.0
2020-02-25,0,,,,,,,0.0,0.0,0.0
2020-02-26,0,,,,,,,0.0,0.0,0.0
2020-02-27,0,,,,,,,0.0,0.0,0.0
2020-02-28,0,,,,,,,0.0,0.0,0.0
2020-02-29,0,,,,,,,0.0,0.0,0.0
2020-03-01,0,,,,,,,0.0,0.0,0.0
2020-03-02,0,,,,,,,0.0,0.0,0.0
2020-03-03,0,,,,,,,0.0,0.0,0.0
2020-03-04,0,,,,,,,0.0,0.0,0.0
2020-03-05,0,,,,,,,0.0,0.0,0.0
2020-03-06,0,,,,,,,0.0,0.0,0.0
2020-03-07,0,,,,,,,0.0,0.0,0.0
2020-03-08,0,,,,,,,0.0,0.0,0.0
2020-03-09,0,,,,,,,0.0,0.0,0.0
2020-03-10,0,,,,,,,0.0,0.0,0.0
2020-03-11,0,82.0,,,,,,0.0,0.0,0.0
2020-03-12,0,86.0,,,,,,0.0,0.0,0.0
2020-03-13,0,93.0,,,,,,0.0,0.0,0.0
2020-03-14,0,93.0,,,,,,0.0,0.0,0.0
2020-03-15,0,93.0,,,,,,0.0,0.0,0.0
2020-03-16,0,95.0,,,,,,0.0,0.0,0.0
2020-03-17,0,104.0,,,,,,0.0,0.0,0.0
2020-03-18,0,110.0,,,,,,0.0,0.0,0.0
2020-03-19,0,115.0,,,,,,0.0,0.0,0.0
2020-03-20,0,115.0,,,,,,0.0,0.0,0.0
2020-03-21,0,115.0,,,,,,0.0,0.0,0.0
2020-03-22,0,115.0,,,,,,0.0,0.0,0.0
2020-03-23,0,126.0,,,,,,0.0,0.0,0.0
2020-03-24,0,129.0,,,,,,0.0,0.0,0.0
2020-03-25,0,134.0,,,,,,0.0,0.0,0.0
2020-03-26,0,141.0,,,,,,0.0,0.0,0.0
2020-03-27,0,146.0,,,,,,0.0,0.0,0.0
2020-03-28,0,146.0,,,,,,0.0,0.0,0.0
2020-03-29,0,146.0,,,,,,0.0,0.0,0.0
2020-03-30,0,169.0,,,,,,0.0,0.0,0.0
2020-03-31,0,182.0,,,,,,0.0,0.0,0.0
2020-04-01,0,182.0,,,,,,0.0,0.0,0.0
2020-04-02,0,201.0,,,,,,0.0,0.0,0.0
2020-04-03,0,227.0,,,,,,0.0,0.0,0.0
2020-04-04,0,227.0,,,,,,0.0,0.0,0.0
2020-04-05,0,227.0,,,,,,0.0,0.0,0.0
2020-04-06,0,242.0,,,,,,0.0,0.0,0.0
2020-04-07,0,249.0,,,,,,0.0,0.0,0.0
2020-04-08,0,258.0,,,,,,0.0,0.0,0.0
2020-04-09,0,277.0,,,,,,0.0,0.0,0.0
2020-04-10,1,299.0,1.0,,0.0,0.0,,1.0,0.2,0.1
2020-04-11,1,299.0,1.0,,0.0,0.0,,0.0,0.2,0.1
2020-04-12,1,299.0,1.0,,0.0,0.0,,0.0,0.2,0.1
2020-04-13,1,378.0,1.0,,0.0,0.0,,0.0,0.2,0.1
2020-04-14,1,432.0,1.0,,0.0,0.0,,0.0,0.2,0.1
2020-04-15,1,446.0,1.0,,0.0,0.0,,0.0,0.0,0.1
2020-04-16,1,477.0,1.0,,0.0,0.0,,0.0,0.0,0.1
2020-04-17,1,543.0,1.0,,0.0,0.0,,0.0,0.0,0.1
2020-04-18,3,543.0,3.0,,0.0,0.0,,2.0,0.4,0.3
2020-04-19,3,543.0,3.0,,0.0,0.0,,0.0,0.4,0.3
2020-04-20,3,711.0,3.0,,0.0,0.0,,0.0,0.4,0.2
2020-04-21,3,794.0,3.0,,0.0,0.0,,0.0,0.4,0.2
2020-04-22,3,823.0,3.0,,0.0,0.0,,0.0,0.4,0.2
2020-04-23,3,880.0,3.0,,0.0,0.0,,0.0,0.0,0.2
2020-04-24,3,929.0,3.0,,0.0,0.0,,0.0,0.0,0.2
2020-04-25,3,943.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.2
2020-04-26,3,971.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.2
2020-04-27,3,982.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.2
2020-04-28,3,1003.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,3,1003.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,3,1048.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,3,1092.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,3,1092.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-05-03,3,1103.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-05-04,3,1103.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-05-05,3,1111.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-05-06,3,1124.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-05-07,3,1142.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-05-08,3,1142.0,2.0,,1.0,0.0,,0.0,0.0,0.0
2020-05-09,3,1154.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-10,3,1167.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-11,3,1167.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-12,3,1198.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-13,3,1198.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-14,3,1213.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-15,3,1223.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-16,3,1237.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-17,3,1247.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-18,3,1249.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-19,3,1260.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-05-20,3,1269.0,1.0,0.0,2.0,0.0,,0.0,0.0,0.0
