datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0.0,,,,,,,,,
2020-01-27,0.0,,,,,,,0.0,,
2020-01-28,0.0,,,,,,,0.0,,
2020-01-29,0.0,,,,,,,0.0,,
2020-01-30,0.0,,,,,,,0.0,,
2020-01-31,0.0,,,,,,,0.0,0.0,
2020-02-01,0.0,,,,,,,0.0,0.0,
2020-02-02,0.0,,,,,,,0.0,0.0,
2020-02-03,0.0,,,,,,,0.0,0.0,
2020-02-04,0.0,,,,,,,0.0,0.0,
2020-02-05,0.0,,,,,,,0.0,0.0,0.0
2020-02-06,0.0,,,,,,,0.0,0.0,0.0
2020-02-07,0.0,,,,,,,0.0,0.0,0.0
2020-02-08,0.0,,,,,,,0.0,0.0,0.0
2020-02-09,0.0,,,,,,,0.0,0.0,0.0
2020-02-10,0.0,,,,,,,0.0,0.0,0.0
2020-02-11,0.0,,,,,,,0.0,0.0,0.0
2020-02-12,0.0,,,,,,,0.0,0.0,0.0
2020-02-13,1.0,,,,,,,1.0,0.2,0.1
2020-02-14,2.0,,,,,,,1.0,0.4,0.2
2020-02-15,5.0,,,,,,,3.0,1.0,0.5
2020-02-16,5.0,,,,,,,0.0,1.0,0.5
2020-02-17,9.0,,,,,,,4.0,1.8,0.9
2020-02-18,12.0,,,,,,,3.0,2.2,1.2
2020-02-19,12.0,,,,,,,0.0,2.0,1.2
2020-02-20,12.0,,,,,,,0.0,1.4,1.2
2020-02-21,12.0,,,,,,,0.0,1.4,1.2
2020-02-22,13.0,,,,,,,1.0,0.8,1.3
2020-02-23,13.0,,,,,,,0.0,0.2,1.2
2020-02-24,13.0,,,,,,,0.0,0.2,1.1
2020-02-25,13.0,,,,,,,0.0,0.2,0.8
2020-02-26,13.0,,,,,,,0.0,0.2,0.8
2020-02-27,13.0,,,,,,,0.0,0.0,0.4
2020-02-28,13.0,,,,,,,0.0,0.0,0.1
2020-02-29,13.0,,,,,,,0.0,0.0,0.1
2020-03-01,13.0,,,,,,,0.0,0.0,0.1
2020-03-02,13.0,,,,,,,0.0,0.0,0.1
2020-03-03,13.0,,,,,,,0.0,0.0,0.0
2020-03-04,13.0,,,,,,,0.0,0.0,0.0
2020-03-05,14.0,,,,,,,1.0,0.2,0.1
2020-03-06,14.0,,,,,,,0.0,0.2,0.1
2020-03-07,14.0,,,,,,,0.0,0.2,0.1
2020-03-08,14.0,,,,,,,0.0,0.2,0.1
2020-03-09,14.0,,,,,,,0.0,0.2,0.1
2020-03-10,14.0,,,,,,,0.0,0.0,0.1
2020-03-11,14.0,982.0,,,,,,0.0,0.0,0.1
2020-03-12,14.0,996.0,,,,,,0.0,0.0,0.1
2020-03-13,14.0,1008.0,,,,,,0.0,0.0,0.1
2020-03-14,14.0,1008.0,,,,,,0.0,0.0,0.1
2020-03-15,15.0,1008.0,,,,,,1.0,0.2,0.1
2020-03-16,15.0,1040.0,,,,,,0.0,0.2,0.1
2020-03-17,15.0,1076.0,,,,,,0.0,0.2,0.1
2020-03-18,15.0,1090.0,4.0,,8.0,1.0,,0.0,0.2,0.1
2020-03-19,17.0,1102.0,5.0,,8.0,1.0,,2.0,0.6,0.3
2020-03-20,17.0,1110.0,6.0,,8.0,1.0,,0.0,0.4,0.3
2020-03-21,17.0,1112.0,5.0,,9.0,1.0,,0.0,0.4,0.3
2020-03-22,17.0,1118.0,5.0,,9.0,1.0,,0.0,0.4,0.3
2020-03-23,17.0,1305.0,5.0,,9.0,1.0,,0.0,0.4,0.3
2020-03-24,17.0,1316.0,5.0,,9.0,1.0,,0.0,0.0,0.3
2020-03-25,17.0,1374.0,5.0,,9.0,1.0,,0.0,0.0,0.2
2020-03-26,17.0,1405.0,4.0,,10.0,1.0,0.61,0.0,0.0,0.2
2020-03-27,17.0,1419.0,4.0,,10.0,1.0,0.0,0.0,0.0,0.2
2020-03-28,17.0,1431.0,3.0,,13.0,1.0,0.0,0.0,0.0,0.2
2020-03-29,17.0,1433.0,3.0,,13.0,1.0,0.0,0.0,0.0,0.0
2020-03-30,18.0,1452.0,3.0,,13.0,1.0,0.0,1.0,0.2,0.1
2020-03-31,18.0,1479.0,3.0,,13.0,1.0,0.0,0.0,0.2,0.1
