datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,3,113.0,,,,,,,,
2020-03-12,3,122.0,,,,,,0.0,,
2020-03-13,3,128.0,,,,,,0.0,,
2020-03-14,3,128.0,,,,,,0.0,,
2020-03-15,3,128.0,,,,,,0.0,,
2020-03-16,3,138.0,,,,,,0.0,0.0,
2020-03-17,3,149.0,,,,,,0.0,0.0,
2020-03-18,3,157.0,1.0,,0.0,0,,0.0,0.0,
2020-03-19,3,164.0,1.0,,0.0,0,,0.0,0.0,
2020-03-20,3,164.0,1.0,,0.0,0,,0.0,0.0,
2020-03-21,3,166.0,1.0,,0.0,0,,0.0,0.0,0.0
2020-03-22,4,170.0,2.0,,0.0,0,,1.0,0.2,0.1
2020-03-23,4,180.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-03-24,4,192.0,2.0,,0.0,0,,0.0,0.2,0.1
2020-03-25,5,196.0,3.0,,0.0,0,,1.0,0.4,0.2
2020-03-26,6,210.0,4.0,,0.0,0,,1.0,0.6,0.3
2020-03-27,6,228.0,4.0,,0.0,0,,0.0,0.4,0.3
2020-03-28,6,228.0,4.0,,2.0,0,,0.0,0.4,0.3
2020-03-29,6,228.0,4.0,,2.0,0,1.64,0.0,0.4,0.3
2020-03-30,6,257.0,4.0,,2.0,0,1.64,0.0,0.2,0.3
2020-03-31,6,287.0,3.0,,3.0,0,1.64,0.0,0.0,0.3
2020-04-01,6,287.0,3.0,,3.0,0,0.61,0.0,0.0,0.2
2020-04-02,6,328.0,3.0,,3.0,0,0.0,0.0,0.0,0.2
2020-04-03,7,354.0,4.0,,3.0,0,0.46,1.0,0.2,0.3
2020-04-04,7,396.0,4.0,,3.0,0,0.46,0.0,0.2,0.2
2020-04-05,8,409.0,5.0,,3.0,0,1.0,1.0,0.4,0.2
2020-04-06,12,449.0,9.0,,3.0,0,2.19,4.0,1.2,0.6
2020-04-07,13,455.0,10.0,,3.0,0,2.45,1.0,1.4,0.7
2020-04-08,17,513.0,14.0,,3.0,0,5.54,4.0,2.0,1.1
2020-04-09,17,528.0,14.0,,3.0,0,,0.0,2.0,1.1
2020-04-10,17,557.0,14.0,,3.0,0,5.18,0.0,1.8,1.1
2020-04-11,19,557.0,16.0,,3.0,0,5.9,2.0,1.4,1.3
2020-04-12,23,557.0,20.0,,3.0,0,4.22,4.0,2.0,1.7
2020-04-13,24,657.0,19.0,,5.0,0,1.64,1.0,1.4,1.7
2020-04-14,25,738.0,20.0,,5.0,0,1.47,1.0,1.6,1.8
2020-04-15,28,773.0,23.0,,5.0,0,1.0,3.0,2.2,2.0
2020-04-16,29,885.0,24.0,,5.0,0,1.06,1.0,2.0,1.7
2020-04-17,30,977.0,25.0,,5.0,0,1.21,1.0,1.4,1.7
2020-04-18,30,1027.0,25.0,,5.0,0,0.94,0.0,1.2,1.3
2020-04-19,30,1049.0,19.0,,11.0,0,0.58,0.0,1.0,1.3
2020-04-20,30,1119.0,15.0,,15.0,0,0.61,0.0,0.4,1.3
2020-04-21,31,1130.0,15.0,,15.0,0,0.61,1.0,0.4,1.2
2020-04-22,31,1144.0,16.0,,15.0,0,0.4,0.0,0.2,0.8
2020-04-23,31,1156.0,16.0,,15.0,0,0.28,0.0,0.2,0.7
2020-04-24,31,1217.0,15.0,,16.0,0,0.16,0.0,0.2,0.6
2020-04-25,31,1217.0,13.0,,18.0,0,0.18,0.0,0.2,0.3
2020-04-26,31,1217.0,13.0,,18.0,0,0.25,0.0,0.0,0.2
2020-04-27,32,1225.0,14.0,,18.0,0,0.46,1.0,0.2,0.2
2020-04-28,32,1239.0,9.0,,23.0,0,0.28,0.0,0.2,0.2
2020-04-29,32,1265.0,8.0,,24.0,0,0.46,0.0,0.2,0.2
2020-04-30,32,1285.0,8.0,,24.0,0,0.61,0.0,0.2,0.2
2020-05-01,34,1290.0,10.0,,24.0,0,2.19,2.0,0.6,0.3
2020-05-02,34,1290.0,10.0,,24.0,0,2.19,0.0,0.4,0.3
2020-05-03,35,1290.0,11.0,,24.0,0,2.69,1.0,0.6,0.4
2020-05-04,35,1290.0,12.0,,24.0,0,1.34,0.0,0.6,0.4
2020-05-05,37,1290.0,13.0,,24.0,0,3.16,2.0,1.0,0.6
2020-05-06,37,1290.0,13.0,,24.0,0,3.16,0.0,0.6,0.6
2020-05-07,37,1455.0,13.0,,24.0,0,3.16,0.0,0.6,0.5
2020-05-08,37,1498.0,4.0,,33.0,,1.0,0.0,0.4,0.5
2020-05-09,37,1521.0,4.0,,33.0,,1.0,0.0,0.4,0.5
2020-05-10,37,1528.0,4.0,,33.0,,0.61,0.0,0.0,0.5
2020-05-11,37,1528.0,4.0,,33.0,,0.75,0.0,0.0,0.3
2020-05-12,37,1557.0,4.0,,33.0,,0.0,0.0,0.0,0.3
2020-05-13,37,1557.0,4.0,1,33.0,0,0.0,0.0,0.0,0.2
2020-05-14,37,1585.0,4.0,1,33.0,0,0.0,0.0,0.0,0.2
2020-05-15,37,1598.0,4.0,1,33.0,0,0.0,0.0,0.0,0.0
