datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-03-11,2,236.0,,,,,,,,
2020-03-12,2,251.0,,,,,,0.0,,
2020-03-13,2,267.0,,,,,,0.0,,
2020-03-14,2,267.0,,,,,,0.0,,
2020-03-15,2,267.0,,,,,,0.0,,
2020-03-16,2,294.0,,,,,,0.0,0.0,
2020-03-17,2,315.0,,,,,,0.0,0.0,
2020-03-18,2,325.0,2.0,,0.0,0,,0.0,0.0,
2020-03-19,2,335.0,2.0,,0.0,0,,0.0,0.0,
2020-03-20,2,337.0,2.0,,0.0,0,,0.0,0.0,
2020-03-21,2,338.0,2.0,,0.0,0,,0.0,0.0,0.0
2020-03-22,2,338.0,1.0,,1.0,0,,0.0,0.0,0.0
2020-03-23,2,358.0,1.0,,1.0,0,,0.0,0.0,0.0
2020-03-24,4,370.0,3.0,,1.0,0,,2.0,0.4,0.2
2020-03-25,4,383.0,3.0,,1.0,0,,0.0,0.4,0.2
2020-03-26,4,401.0,2.0,,2.0,0,,0.0,0.4,0.2
2020-03-27,4,422.0,2.0,,2.0,0,,0.0,0.4,0.2
2020-03-28,4,426.0,2.0,,2.0,0,,0.0,0.4,0.2
2020-03-29,4,428.0,2.0,,2.0,0,,0.0,0.0,0.2
2020-03-30,5,454.0,3.0,,2.0,0,,1.0,0.2,0.3
2020-03-31,6,472.0,4.0,,2.0,0,1.0,1.0,0.4,0.4
2020-04-01,8,472.0,6.0,,2.0,0,1.64,2.0,0.8,0.6
2020-04-02,9,579.0,7.0,,2.0,0,1.92,1.0,1.0,0.7
2020-04-03,9,625.0,7.0,,2.0,0,1.92,0.0,1.0,0.5
2020-04-04,11,625.0,9.0,,2.0,0,2.45,2.0,1.2,0.7
2020-04-05,13,625.0,11.0,,2.0,0,2.93,2.0,1.4,0.9
2020-04-06,14,749.0,12.0,,2.0,0,2.19,1.0,1.2,1.0
2020-04-07,19,828.0,17.0,,2.0,0,3.81,5.0,2.0,1.5
2020-04-08,22,887.0,20.0,,2.0,0,2.45,3.0,2.6,1.8
2020-04-09,24,946.0,22.0,,2.0,0,2.19,2.0,2.6,1.9
2020-04-10,27,1013.0,25.0,,2.0,0,2.5,3.0,2.8,2.1
2020-04-11,32,1013.0,30.0,,2.0,0,2.19,5.0,3.6,2.4
2020-04-12,35,1013.0,33.0,,2.0,0,1.89,3.0,3.2,2.6
2020-04-13,35,1157.0,33.0,,2.0,0,1.83,0.0,2.6,2.6
2020-04-14,36,1205.0,34.0,,2.0,0,1.21,1.0,2.4,2.5
2020-04-15,39,1295.0,37.0,,2.0,0,1.15,3.0,2.4,2.6
2020-04-16,43,1367.0,34.0,,9.0,0,1.18,4.0,2.2,2.9
2020-04-17,46,1435.0,37.0,,9.0,0,1.04,3.0,2.2,2.7
2020-04-18,48,1435.0,39.0,,9.0,0,0.82,2.0,2.6,2.6
2020-04-19,49,1435.0,40.0,,9.0,0,0.72,1.0,2.6,2.5
2020-04-20,49,1653.0,40.0,,9.0,0,0.75,0.0,2.0,2.2
2020-04-21,50,1703.0,40.0,,9.0,0,0.87,1.0,1.4,1.8
2020-04-22,51,1813.0,28.0,,22.0,0,0.78,1.0,1.0,1.6
2020-04-23,51,1862.0,29.0,,22.0,0,0.54,0.0,0.6,1.6
2020-04-24,51,1922.0,29.0,,22.0,0,0.39,0.0,0.4,1.5
2020-04-25,51,1922.0,29.0,,22.0,0,0.3,0.0,0.4,1.2
2020-04-26,51,1922.0,29.0,,22.0,0,0.25,0.0,0.2,0.8
2020-04-27,51,2072.0,29.0,,22.0,0,0.25,0.0,0.0,0.5
2020-04-28,52,2117.0,29.0,,23.0,0,0.25,1.0,0.2,0.4
2020-04-29,52,2117.0,28.0,,24.0,0,0.17,0.0,0.2,0.3
2020-04-30,52,2292.0,28.0,,24.0,0,0.23,0.0,0.2,0.3
2020-05-01,54,2358.0,25.0,,29.0,0,0.69,2.0,0.6,0.4
2020-05-02,55,2358.0,26.0,,29.0,0,1.23,1.0,0.8,0.4
2020-05-03,56,2358.0,27.0,,29.0,0,1.92,1.0,0.8,0.5
2020-05-04,56,2358.0,27.0,,29.0,0,1.92,0.0,0.8,0.5
2020-05-05,56,2358.0,27.0,,29.0,0,1.64,0.0,0.8,0.5
2020-05-06,56,2358.0,27.0,,29.0,0,2.69,0.0,0.4,0.5
2020-05-07,56,2738.0,27.0,,29.0,0,2.69,0.0,0.2,0.5
2020-05-08,56,2806.0,8.0,1,48.0,0,0.75,0.0,0.0,0.4
2020-05-09,56,2806.0,8.0,1,48.0,0,0.37,0.0,0.0,0.4
2020-05-10,56,2806.0,8.0,1,48.0,0,0.0,0.0,0.0,0.4
2020-05-11,56,2981.0,7.0,1,49.0,0,0.0,0.0,0.0,0.2
2020-05-12,56,3027.0,7.0,1,49.0,0,0.0,0.0,0.0,0.1
2020-05-13,57,3108.0,6.0,1,51.0,0,0.37,1.0,0.2,0.1
2020-05-14,57,3162.0,6.0,1,51.0,0,0.37,0.0,0.2,0.1
2020-05-15,57,3205.0,6.0,1,51.0,0,0.61,0.0,0.2,0.1
2020-05-16,57,3205.0,6.0,1,51.0,0,1.0,0.0,0.2,0.1
2020-05-17,57,3205.0,6.0,1,51.0,0,,0.0,0.2,0.1
2020-05-18,57,3337.0,6.0,1,51.0,0,,0.0,0.0,0.1
2020-05-19,58,3395.0,7.0,1,51.0,0,,1.0,0.2,0.2
2020-05-20,60,3483.0,8.0,1,52.0,0,2.19,2.0,0.6,0.4
2020-05-21,60,3550.0,5.0,1,55.0,0,2.19,0.0,0.6,0.4
2020-05-22,60,3602.0,4.0,1,56.0,0,2.19,0.0,0.6,0.4
2020-05-23,60,3602.0,4.0,1,56.0,0,2.19,0.0,0.6,0.3
2020-05-24,60,3602.0,4.0,1,56.0,0,2.19,0.0,0.4,0.3
2020-05-25,60,3720.0,2.0,0,57.0,1,2.19,0.0,0.0,0.3
2020-05-26,60,3752.0,2.0,0,57.0,1,1.0,0.0,0.0,0.3
2020-05-27,60,3801.0,2.0,0,57.0,1,0.0,0.0,0.0,0.3
2020-05-28,60,3842.0,2.0,0,57.0,1,0.0,0.0,0.0,0.3
2020-05-29,64,3877.0,4.0,0,59.0,1,1.23,4.0,0.8,0.6
2020-05-30,64,3877.0,4.0,0,59.0,1,1.23,0.0,0.8,0.4
2020-05-31,64,3877.0,4.0,0,59.0,1,1.23,0.0,0.8,0.4
2020-06-01,64,4038.0,4.0,0,59.0,1,1.23,0.0,0.8,0.4
2020-06-02,64,4088.0,4.0,0,59.0,1,1.64,0.0,0.8,0.4
2020-06-03,65,4146.0,4.0,0,60.0,1,,1.0,0.2,0.5
2020-06-04,65,4202.0,4.0,0,60.0,1,,0.0,0.2,0.5
2020-06-05,65,4259.0,2.0,0,62.0,1,0.37,0.0,0.2,0.5
2020-06-06,65,4259.0,2.0,0,62.0,1,0.37,0.0,0.2,0.5
