year,month,date,prefectureNameJ,prefectureNameE,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber
2020,1,26,愛知県,Aichi,1,,,,,,
2020,1,26,秋田県,Akita,0,,,,,,
2020,1,26,青森県,Aomori,0,,,,,,
2020,1,26,千葉県,Chiba,0,,,,,,
2020,1,26,愛媛県,Ehime,0,,,,,,
2020,1,26,福井県,Fukui,0,,,,,,
2020,1,26,福岡県,Fukuoka,0,,,,,,
2020,1,26,福島県,Fukushima,0,,,,,,
2020,1,26,岐阜県,Gifu,0,,,,,,
2020,1,26,群馬県,Gunma,0,,,,,,
2020,1,26,広島県,Hiroshima,0,,,,,,
2020,1,26,北海道,Hokkaido,0,,,,,,
2020,1,26,兵庫県,Hyogo,0,,,,,,
2020,1,26,茨城県,Ibaraki,0,,,,,,
2020,1,26,石川県,Ishikawa,0,,,,,,
2020,1,26,岩手県,Iwate,0,,,,,,
2020,1,26,香川県,Kagawa,0,,,,,,
2020,1,26,鹿児島県,Kagoshima,0,,,,,,
2020,1,26,神奈川県,Kanagawa,1,,,,,,
2020,1,26,高知県,Kochi,0,,,,,,
2020,1,26,熊本県,Kumamoto,0,,,,,,
2020,1,26,京都府,Kyoto,0,,,,,,
2020,1,26,三重県,Mie,0,,,,,,
2020,1,26,宮城県,Miyagi,0,,,,,,
2020,1,26,宮崎県,Miyazaki,0,,,,,,
2020,1,26,長野県,Nagano,0,,,,,,
2020,1,26,長崎県,Nagasaki,0,,,,,,
2020,1,26,奈良県,Nara,0,,,,,,
2020,1,26,新潟県,Niigata,0,,,,,,
2020,1,26,大分県,Oita,0,,,,,,
2020,1,26,岡山県,Okayama,0,,,,,,
2020,1,26,沖縄県,Okinawa,0,,,,,,
2020,1,26,大阪府,Osaka,0,1.0,,,,,
2020,1,26,佐賀県,Saga,0,,,,,,
2020,1,26,埼玉県,Saitama,0,,,,,,
2020,1,26,滋賀県,Shiga,0,,,,,,
2020,1,26,島根県,Shimane,0,,,,,,
2020,1,26,静岡県,Shizuoka,0,,,,,,
2020,1,26,栃木県,Tochigi,0,,,,,,
2020,1,26,徳島県,Tokushima,0,,,,,,
2020,1,26,東京都,Tokyo,2,,,,,,
2020,1,26,鳥取県,Tottori,0,,,,,,
2020,1,26,富山県,Toyama,0,,,,,,
2020,1,26,和歌山県,Wakayama,0,,,,,,
2020,1,26,山形県,Yamagata,0,,,,,,
2020,1,26,山口県,Yamaguchi,0,,,,,,
2020,1,26,山梨県,Yamanashi,0,,,,,,
2020,1,27,愛知県,Aichi,1,,,,,,
2020,1,27,秋田県,Akita,0,,,,,,
2020,1,27,青森県,Aomori,0,,,,,,
2020,1,27,千葉県,Chiba,0,,,,,,
2020,1,27,愛媛県,Ehime,0,,,,,,
2020,1,27,福井県,Fukui,0,,,,,,
2020,1,27,福岡県,Fukuoka,0,,,,,,
2020,1,27,福島県,Fukushima,0,,,,,,
2020,1,27,岐阜県,Gifu,0,,,,,,
2020,1,27,群馬県,Gunma,0,,,,,,
2020,1,27,広島県,Hiroshima,0,,,,,,
2020,1,27,北海道,Hokkaido,0,,,,,,
2020,1,27,兵庫県,Hyogo,0,,,,,,
2020,1,27,茨城県,Ibaraki,0,,,,,,
2020,1,27,石川県,Ishikawa,0,,,,,,
2020,1,27,岩手県,Iwate,0,,,,,,
2020,1,27,香川県,Kagawa,0,,,,,,
2020,1,27,鹿児島県,Kagoshima,0,,,,,,
2020,1,27,神奈川県,Kanagawa,1,,,,,,
2020,1,27,高知県,Kochi,0,,,,,,
2020,1,27,熊本県,Kumamoto,0,,,,,,
2020,1,27,京都府,Kyoto,0,,,,,,
2020,1,27,三重県,Mie,0,,,,,,
2020,1,27,宮城県,Miyagi,0,,,,,,
2020,1,27,宮崎県,Miyazaki,0,,,,,,
2020,1,27,長野県,Nagano,0,,,,,,
2020,1,27,長崎県,Nagasaki,0,,,,,,
2020,1,27,奈良県,Nara,0,,,,,,
2020,1,27,新潟県,Niigata,0,,,,,,
2020,1,27,大分県,Oita,0,,,,,,
2020,1,27,岡山県,Okayama,0,,,,,,
2020,1,27,沖縄県,Okinawa,0,,,,,,
2020,1,27,大阪府,Osaka,0,2.0,,,,,
2020,1,27,佐賀県,Saga,0,,,,,,
2020,1,27,埼玉県,Saitama,0,,,,,,
2020,1,27,滋賀県,Shiga,0,,,,,,
2020,1,27,島根県,Shimane,0,,,,,,
2020,1,27,静岡県,Shizuoka,0,,,,,,
2020,1,27,栃木県,Tochigi,0,,,,,,
2020,1,27,徳島県,Tokushima,0,,,,,,
2020,1,27,東京都,Tokyo,2,,,,,,
2020,1,27,鳥取県,Tottori,0,,,,,,
2020,1,27,富山県,Toyama,0,,,,,,
2020,1,27,和歌山県,Wakayama,0,,,,,,
2020,1,27,山形県,Yamagata,0,,,,,,
2020,1,27,山口県,Yamaguchi,0,,,,,,
2020,1,27,山梨県,Yamanashi,0,,,,,,
2020,1,28,愛知県,Aichi,2,,,,,,
2020,1,28,秋田県,Akita,0,,,,,,
2020,1,28,青森県,Aomori,0,,,,,,
2020,1,28,千葉県,Chiba,0,,,,,,
2020,1,28,愛媛県,Ehime,0,,,,,,
2020,1,28,福井県,Fukui,0,,,,,,
2020,1,28,福岡県,Fukuoka,0,,,,,,
2020,1,28,福島県,Fukushima,0,,,,,,
2020,1,28,岐阜県,Gifu,0,,,,,,
2020,1,28,群馬県,Gunma,0,,,,,,
2020,1,28,広島県,Hiroshima,0,,,,,,
2020,1,28,北海道,Hokkaido,1,,,,,,
2020,1,28,兵庫県,Hyogo,0,,,,,,
2020,1,28,茨城県,Ibaraki,0,,,,,,
2020,1,28,石川県,Ishikawa,0,,,,,,
2020,1,28,岩手県,Iwate,0,,,,,,
2020,1,28,香川県,Kagawa,0,,,,,,
2020,1,28,鹿児島県,Kagoshima,0,,,,,,
2020,1,28,神奈川県,Kanagawa,1,,,,,,
2020,1,28,高知県,Kochi,0,,,,,,
2020,1,28,熊本県,Kumamoto,0,,,,,,
2020,1,28,京都府,Kyoto,0,,,,,,
2020,1,28,三重県,Mie,0,,,,,,
2020,1,28,宮城県,Miyagi,0,,,,,,
2020,1,28,宮崎県,Miyazaki,0,,,,,,
2020,1,28,長野県,Nagano,0,,,,,,
2020,1,28,長崎県,Nagasaki,0,,,,,,
2020,1,28,奈良県,Nara,1,,,,,,
2020,1,28,新潟県,Niigata,0,,,,,,
2020,1,28,大分県,Oita,0,,,,,,
2020,1,28,岡山県,Okayama,0,,,,,,
2020,1,28,沖縄県,Okinawa,0,,,,,,
2020,1,28,大阪府,Osaka,0,3.0,,,,,
2020,1,28,佐賀県,Saga,0,,,,,,
2020,1,28,埼玉県,Saitama,0,,,,,,
2020,1,28,滋賀県,Shiga,0,,,,,,
2020,1,28,島根県,Shimane,0,,,,,,
2020,1,28,静岡県,Shizuoka,0,,,,,,
2020,1,28,栃木県,Tochigi,0,,,,,,
2020,1,28,徳島県,Tokushima,0,,,,,,
2020,1,28,東京都,Tokyo,2,,,,,,
2020,1,28,鳥取県,Tottori,0,,,,,,
2020,1,28,富山県,Toyama,0,,,,,,
2020,1,28,和歌山県,Wakayama,0,,,,,,
2020,1,28,山形県,Yamagata,0,,,,,,
2020,1,28,山口県,Yamaguchi,0,,,,,,
2020,1,28,山梨県,Yamanashi,0,,,,,,
2020,1,29,愛知県,Aichi,2,,,,,,
2020,1,29,秋田県,Akita,0,,,,,,
2020,1,29,青森県,Aomori,0,,,,,,
2020,1,29,千葉県,Chiba,0,,,,,,
2020,1,29,愛媛県,Ehime,0,,,,,,
2020,1,29,福井県,Fukui,0,,,,,,
2020,1,29,福岡県,Fukuoka,0,,,,,,
2020,1,29,福島県,Fukushima,0,,,,,,
2020,1,29,岐阜県,Gifu,0,,,,,,
2020,1,29,群馬県,Gunma,0,,,,,,
2020,1,29,広島県,Hiroshima,0,,,,,,
2020,1,29,北海道,Hokkaido,1,,,,,,
2020,1,29,兵庫県,Hyogo,0,,,,,,
2020,1,29,茨城県,Ibaraki,0,,,,,,
2020,1,29,石川県,Ishikawa,0,,,,,,
2020,1,29,岩手県,Iwate,0,,,,,,
2020,1,29,香川県,Kagawa,0,,,,,,
2020,1,29,鹿児島県,Kagoshima,0,,,,,,
2020,1,29,神奈川県,Kanagawa,1,,,,,,
2020,1,29,高知県,Kochi,0,,,,,,
2020,1,29,熊本県,Kumamoto,0,,,,,,
2020,1,29,京都府,Kyoto,0,,,,,,
2020,1,29,三重県,Mie,0,,,,,,
2020,1,29,宮城県,Miyagi,0,,,,,,
2020,1,29,宮崎県,Miyazaki,0,,,,,,
2020,1,29,長野県,Nagano,0,,,,,,
2020,1,29,長崎県,Nagasaki,0,,,,,,
2020,1,29,奈良県,Nara,1,,,,,,
2020,1,29,新潟県,Niigata,0,,,,,,
2020,1,29,大分県,Oita,0,,,,,,
2020,1,29,岡山県,Okayama,0,,,,,,
2020,1,29,沖縄県,Okinawa,0,,,,,,
2020,1,29,大阪府,Osaka,1,3.0,,,,,
2020,1,29,佐賀県,Saga,0,,,,,,
2020,1,29,埼玉県,Saitama,0,,,,,,
2020,1,29,滋賀県,Shiga,0,,,,,,
2020,1,29,島根県,Shimane,0,,,,,,
2020,1,29,静岡県,Shizuoka,0,,,,,,
2020,1,29,栃木県,Tochigi,0,,,,,,
2020,1,29,徳島県,Tokushima,0,,,,,,
